etf.com_names,Ticker_names,investing_names,details
Commerzbank AG,CBKG,Commerzbank AG O.N.,Stock - Xetra equities
Commonwealth Bank of Australia,CBA,Commonwealth Bank Of Australia,Stock - Sydney equities
"Communications Systems, Inc.",None,None,None
"Community Bank System, Inc.",CBU,Community Bank System Inc,Stock - NYSE equities
Community Financial Corporation,None,None,None
"Community Health Systems, Inc.",CYH,Community Health Systems Inc,Stock - NYSE equities
Community Healthcare Trust Incorporated,None,None,None
"Community Trust Bancorp, Inc.",CTBI,Community Trust Bancorp Inc,Stock - NASDAQ equities
Community West Bancshares,CWBC,Community West Bancshares,Stock - NASDAQ equities
CompX International Inc. Class A,None,None,None
Compagnie Financiere Richemont SA,CFR,Compagnie Financiere Richemont SA,Stock - Switzerland equities
Compagnie Generale des Etablissements Michelin SCA,MICP,Compagnie Generale des Etablissements Michelin SCA,Stock - Paris equities
Compagnie d'Entreprises CFE SA,None,None,None
"Compal Electronics, Inc.",2324,Compal Electronics Inc,Stock - Taiwan equities
Companhia Brasileira de Distribuicao Sponsored ADR,None,None,None
Companhia Energetica de Minas Gerais SA Pfd,None,None,None
Companhia Energetica de Minas Gerais SA Sponsored ADR Pfd,None,None,None
Companhia Paranaense de Energia Sponsored ADR,None,None,None
Companhia Siderurgica Nacional,SID,Companhia Siderurgica Nacional ADR,Stock - NYSE equities
Companhia Siderurgica Nacional Sponsored ADR,None,None,None
Companhia de Saneamento Basico do Estado de Sao Paulo SABESP,None,None,None
Companhia de Saneamento Basico do Estado de Sao Paulo SABESP Sponsored ADR,None,None,None
Companhia de Saneamento de Minas Gerais,CSMG3,Companhia de Saneamento de Minas Gerais Copasa MG,Stock - BM&FBovespa equities
Compania Cervecerias Unidas S.A.,None,None,None
Compania Cervecerias Unidas S.A. Sponsored ADR,None,None,None
Compania Sud Americana de Vapores S.A.,None,None,None
Compania de Minas Buenaventura SAA Sponsored ADR,None,None,None
Compass Diversified Holdings,CODI,Compass Diversified Holdings,Stock - NYSE equities
Compass Diversified Holdings Cum Red Perp Pfd Registered Shs Series B,None,None,None
Compass Group PLC,CPG,Compass Group PLC,Stock - London equities
Compass Inc Class A,None,None,None
"Compass Minerals International, Inc.",CMP,Compass Minerals International Inc,Stock - NYSE equities
"Compeq Manufacturing Co., Ltd.",2313,Compeq Manufacturing Co Ltd,Stock - Taiwan equities
"CompoSecure, Inc. Class A",None,None,None
CompuGroup Medical SE & Co. KGaA,None,None,None
Compugen Ltd.,None,None,None
Computacenter Plc,CCC,Computacenter PLC,Stock - London equities
"Computer Programs and Systems, Inc.",CPSI,Computer Programs and Systems Inc,Stock - NASDAQ equities
"Computer Task Group, Incorporated",CTG,Computer Task Group Incorporated,Stock - NASDAQ equities
Computershare Limited,None,None,None
"Comstock Resources, Inc.",CRK,Comstock Resources Inc,Stock - NYSE equities
Comtech Telecommunications Corp.,CMTL,Comtech Telecommunications Corp,Stock - NASDAQ equities
"Conagra Brands, Inc.",C1AG34,Conagra Brands Inc,Stock - BM&FBovespa equities
Concentradora Fibra Danhos SA de CV,DANHOS13,Concentradora Fibra Danhos SA de CV,Stock - Mexico equities
Concentrix Corporation,None,None,None
"Concert Pharmaceuticals, Inc.",CNCE,Concert Pharmaceuticals Inc,Stock - NASDAQ equities
Concord Acquisition Corp. Class A,None,None,None
Concord New Energy Group Limited,None,None,None
"Concord Securities Co., Ltd.",6016,Concord Securities Co Ltd,Stock - TPEX equities
"Concordia Financial Group, Ltd.",7186,Concordia Financial Group Ltd,Stock - Tokyo equities
"Concrete Pumping Holdings, Inc. Class A",None,None,None
"Conduent, Inc.",CNDT,Conduent Inc,Stock - NASDAQ equities
Confluent Inc Class A,None,None,None
Conformis Inc,CFMS,ConforMIS Inc,Stock - NASDAQ equities
Conifer Holdings Inc,None,None,None
"Conn's, Inc.",None,None,None
Connect Biopharma Holdings Ltd. Sponsored ADR,None,None,None
"ConnectOne Bancorp, Inc.",CNOB,ConnectOne Bancorp Inc,Stock - NASDAQ equities
ConocoPhillips,COP,ConocoPhillips,Stock - NYSE equities
"Consensus Cloud Solutions, Inc.",CCSI,Consensus Cloud Solutions Inc,Stock - NASDAQ equities
"Consolidated Communications Holdings, Inc.",None,None,None
"Consolidated Edison, Inc.",ED,Consolidated Edison Inc,Stock - NYSE equities
Consolidated Uranium Inc,CUR,International Consolidated Uranium Inc,Stock - TSXV equities
Consolidated Water Co. Ltd.,CWCO,Consolidated Water Co Ltd,Stock - NASDAQ equities
"Constellation Brands, Inc. Class A",STZ,Constellation Brands Inc Class A,Stock - NYSE equities
Constellation Energy Corporation,None,None,None
Constellation Software Inc.,CSU,Constellation Software Inc.,Stock - Toronto equities
Constellium SE Class A,None,None,None
"Construcciones y Auxiliar de Ferrocarriles, S.A.",None,None,None
"Construction Partners, Inc. Class A",None,None,None
Construtora Tenda SA,TEND3,Construtora Tenda SA,Stock - BM&FBovespa equities
"Consumer Portfolio Services, Inc.",CPSS,Consumer Portfolio Services Inc,Stock - NASDAQ equities
Contact Energy Limited,None,None,None
Container Corporation of India Limited,None,None,None
"Contemporary Amperex Technology Co., Ltd. Class A",300750,Contemporary Amperex Technology Co Ltd Class A,Stock - Shenzhen equities
"ContextLogic, Inc. Class A",None,None,None
Continental AG,CONG,Continental AG O.N.,Stock - Xetra equities
Continental Holdings Corp.,3703,Continental Holdings Corp,Stock - Taiwan equities
"Continental Resources, Inc.",CLR,Continental Resources Inc,Stock - NYSE equities
ContourGlobal Plc,GLO,ContourGlobal PLC,Stock - London equities
ContraFect Corp.,CFRX,ContraFect Corp,Stock - NASDAQ equities
"Contrel Technology Co., Ltd",8064,Contrel Technology Co Ltd,Stock - TPEX equities
Controladora Vuela Compania de Aviacion SAB de CV Sponsored ADR Class A,None,None,None
Converge Technology Solutions Corp.,CTS,Converge Technology Solutions Corp,Stock - Toronto equities
"Convey Health Solutions Holdings, Inc.",None,None,None
"Cooper Companies, Inc.",COO,Cooper Companies Inc,Stock - NYSE equities
"Copa Holdings, S.A. Class A",None,None,None
"Copart, Inc.",CPRT,Copart Inc,Stock - NASDAQ equities
Copper Mountain Mining Corporation,C6C,Copper Mountain Mining Corporation,Stock - Sydney equities
CorMedix Inc.,CRMD,CorMedix Inc,Stock - NASDAQ equities
CorVel Corporation,None,None,None
Corbion NV,CORB,Corbion NV,Stock - Amsterdam equities
Corbus Pharmaceuticals Holdings Inc,None,None,None
Corcept Therapeutics Incorporated.,CORT,Corcept Therapeutics Incorporated,Stock - NASDAQ equities
"Core & Main, Inc. Class A",GDAXIEX,iShares Core DAX® UCITS ETF (DE) EUR (Acc),ETF - Xetra etf
Core Laboratories NV,CLB,Core Laboratories NV,Stock - NYSE equities
Core Lithium Corp.,None,None,None
"Core Molding Technologies, Inc.",CMT,Core Molding Technologies Inc,Stock - NYSE equities
"Core Scientific, Inc.",CORZ,Core Scientific Inc,Stock - NASDAQ equities
CoreCard Corporation,None,None,None
"CoreCivic, Inc.",CXW,CoreCivic Inc,Stock - NYSE equities
"CorePoint Lodging, Inc.",CPLG,CorePoint Lodging Inc,Stock - NYSE equities
Corem Property Group AB Class B,None,None,None
Coremax Corporation,None,None,None
Cornerstone Building Brands Inc,CNR,Cornerstone Building Brands Inc,Stock - NYSE equities
Corning Inc,GLW,Corning Incorporated,Stock - NYSE equities
Coromandel International Limited,None,None,None
Coronado Global Resources Inc. Shs Chess Depository Interests Repr 10 Sh,None,None,None
Corporacion Acciona Energias Renovables SA,ANE,Corporacion Acciona Energias Renovables SA,Stock - Madrid equities
Corporate Office Properties Trust,OFC,Corporate Office Properties Trust,Stock - NYSE equities
"Corsair Gaming, Inc.",CRSR,Corsair Gaming Inc,Stock - NASDAQ equities
Corteva Inc,CTVA,Corteva Inc,Stock - NYSE equities
"Cortexyme, Inc.",CRTX,Cortexyme Inc,Stock - NASDAQ equities
Corticeira Amorim SGPS SA,None,None,None
Corus Entertainment Inc. Class B,None,None,None
"Corvus Pharmaceuticals, Inc.",CRVS,Corvus Pharmaceuticals Inc,Stock - NASDAQ equities
Cosan S.A.,None,None,None
"Cosmo Energy Holdings Co., Ltd.",5021,Cosmo Energy Holdings Co Ltd,Stock - Tokyo equities
Cosmo Films Limited,None,None,None
Costa Group Holdings Ltd.,CGC,Costa Group Holdings Ltd,Stock - Sydney equities
Costamare Inc.,CMRE,Costamare Inc,Stock - NYSE equities
Costco Wholesale Corporation,None,None,None
Coterra Energy Inc.,CTRA,Coterra Energy Inc,Stock - NYSE equities
Coty Inc. Class A,None,None,None
"Couchbase, Inc.",BASE,Couchbase Inc,Stock - NASDAQ equities
Country Garden Holdings Co. Ltd.,CTRYY,Country Garden Holdings Company Ltd ADR,Stock - OTC Markets equities
Country Garden Services Holdings Co. Ltd.,CTRGF,Country Garden Services Holdings Co Ltd,Stock - OTC Markets equities
"Coupa Software, Inc.",COUP,Coupa Software Inc,Stock - NASDAQ equities
"Coupang, Inc. Class A",None,None,None
Coursera Inc,COUR,Coursera Inc,Stock - NYSE equities
Cousins Properties Incorporated,CUZ,Cousins Properties Incorporated,Stock - NYSE equities
"Covenant Logistics Group, Inc. Class A",None,None,None
Covestro AG,1COV,Covestro AG,Stock - Xetra equities
"Covetrus, Inc.",CVET,Covetrus Inc,Stock - NASDAQ equities
Covivio SA,CVO,Covivio SA,Stock - Paris equities
Cowen Inc Class A,None,None,None
"Cracker Barrel Old Country Store, Inc.",None,None,None
Crane Co.,CR,Crane Company,Stock - NYSE equities
Cranswick plc,CWK,Cranswick PLC,Stock - London equities
Crawford & Company Class A,CRDa,Crawford & Co,Stock - NYSE equities
Crawford & Company Class B,CRDa,Crawford & Co,Stock - NYSE equities
Credicorp Ltd.,BAP,Credicorp Ltd,Stock - NYSE equities
Credit Acceptance Corporation,CACC,Credit Acceptance Corporation,Stock - NASDAQ equities
Credit Agricole SA,CAGR,Credit Agricole SA,Stock - Paris equities
"Credit Saison Co., Ltd.",8253,"Credit Saison Co., Ltd.",Stock - Tokyo equities
Credit Suisse Group AG,CSGN,Credit Suisse Group AG,Stock - Switzerland equities
Credit Suisse Group AG Sponsored ADR,None,None,None
CreditAccess Grameen Ltd.,CRDE,CreditAccess Grameen Ltd,Stock - BSE equities
Credito Emiliano S.p.A.,None,None,None
Credo Technology Group Holding Ltd.,CRDO,Credo Technology Group Holding Ltd,Stock - NASDAQ equities
Crescent Energy Company Class A,None,None,None
Crescent Point Energy Corp.,CPG,Crescent Point Energy Corp.,Stock - Toronto equities
Creso Pharma Ltd,CPH,Creso Pharma Ltd,Stock - Sydney equities
Crest Nicholson Holdings Plc,CRST,Crest Nicholson Holdings plc,Stock - London equities
Crestwood Equity Partners LP,CEQP,Crestwood Equity Partners LP,Stock - NYSE equities
Cresud SA Sponsored ADR,None,None,None
"Cricut, Inc. Class A",None,None,None
Crinetics Pharmaceuticals Inc,CRNX,Crinetics Pharmaceuticals Inc,Stock - NASDAQ equities
Criteo SA Sponsored ADR,None,None,None
"Crocs, Inc.",CROX,Crocs Inc,Stock - NASDAQ equities
Croda International Plc,CRDA,Croda International PLC,Stock - London equities
Crombie Real Estate Investment Trust,None,None,None
Crompton Greaves Consumer Electricals Ltd.,CROP,Crompton Greaves Consumer Electricals Ltd,Stock - NSE equities
Cromwell European Real Estate Investment Trust,CROM,Cromwell European Real Estate Investment Trust,Stock - Singapore equities
Cromwell Property Group,CMW,Cromwell Property Group,Stock - Sydney equities
Cronos Group Inc,CRON,Cronos Group Inc,Stock - NASDAQ equities
CropEnergies AG,CE2G,Cropenergies AG,Stock - Xetra equities
"Cross Country Healthcare, Inc.",CCRN,Cross Country Healthcare Inc,Stock - NASDAQ equities
CrossAmerica Partners LP,CAPL,Crossamerica Partners LP,Stock - NYSE equities
"CrossFirst Bankshares, Inc.",CFB,CrossFirst Bankshares Inc,Stock - NASDAQ equities
"CrowdStrike Holdings, Inc. Class A",None,None,None
Crown Castle International Corp,CCI,Crown Castle International Corp,Stock - NYSE equities
"Crown Crafts, Inc.",CRWS,Crown Crafts Inc,Stock - NASDAQ equities
"Crown Holdings, Inc.",CCK,Crown Holdings Inc,Stock - NYSE equities
Crown Resorts Limited,None,None,None
"CryoPort, Inc.",CYRX,Cryoport Inc,Stock - NASDAQ equities
Crystal International Group Limited,None,None,None
CubeSmart,CUBE,CubeSmart,Stock - NYSE equities
"Cubic Sensor and Instrument Co., Ltd. Class A",None,None,None
"Cue Biopharma, Inc.",None,None,None
Cue Health Inc.,HLTH,Cue Health Inc,Stock - NASDAQ equities
"Cullen/Frost Bankers, Inc.",CFR,Cullen/Frost Bankers Inc,Stock - NYSE equities
"Cullinan Oncology, Inc.",None,None,None
"Culp, Inc.",CULP,Culp Inc,Stock - NYSE equities
Cumberland Pharmaceuticals Inc.,CPIX,Cumberland Pharmaceuticals Inc,Stock - NASDAQ equities
Cummins Inc.,CMI,Cummins Inc,Stock - NYSE equities
"Cumulus Media, Inc. Class A",CMLS,Cumulus Media Inc Class A,Stock - NASDAQ equities
CureVac N.V.,None,None,None
CuriosityStream Inc Class A,None,None,None
"Curis, Inc.",CRIS,Curis Inc,Stock - NASDAQ equities
Currys PLC,CURY,Currys PLC,Stock - London equities
"Curves Holdings Co., Ltd.",7085,Curves Holdings Co Ltd,Stock - Tokyo equities
Cushman & Wakefield Plc,CWK,Cushman & Wakefield plc,Stock - NYSE equities
Custodian REIT PLC,None,None,None
Custom Truck One Source Inc,CTOS,Custom Truck One Source Inc,Stock - NYSE equities
"Customers Bancorp, Inc.",CUBI,Customers Bancorp Inc,Stock - NYSE equities
"Cutera, Inc.",CUTR,Cutera Inc,Stock - NASDAQ equities
Cvent Inc Term Loan,None,None,None
Cyanotech Corporation,CYAN,Cyanotech Corporation,Stock - NASDAQ equities
"Cyber Security Cloud, Inc.",4493,Cyber Security Cloud Inc,Stock - Tokyo equities
"CyberAgent, Inc.",4751,CyberAgent Inc,Stock - Tokyo equities
CyberArk Software Ltd.,CYBR,Cyberark Software Ltd,Stock - NASDAQ equities
CyberOptics Corporation,CYBE,CyberOptics Corporation,Stock - NASDAQ equities
"Cybin, Inc.",CYBN,Cybin Inc,Stock - NYSE equities
"Cyclacel Pharmaceuticals, Inc.",CYCC,Cyclacel Pharmaceuticals Inc,Stock - NASDAQ equities
"CymaBay Therapeutics, Inc.",None,None,None
Cyrela Brazil Realty SA Empreendimentos e Participacoes,None,None,None
CyrusOne Inc.,None,None,None
"Cyteir Therapeutics, Inc.",CYT,Cyteir Therapeutics Inc,Stock - NASDAQ equities
"Cytek Biosciences, Inc.",CTKB,Cytek Biosciences Inc,Stock - NASDAQ equities
CytoSorbents Corporation,None,None,None
"Cytokinetics, Incorporated",None,None,None
"CytomX Therapeutics, Inc.",CTMX,CytomX Therapeutics Inc,Stock - NASDAQ equities
"Cyxtera Technologies, Inc. Class A",None,None,None
"D.R. Horton, Inc.",D1HI34,D.R. Horton Inc,Stock - BM&FBovespa equities
D/S Norden A/S,SBBd,Samhallsbyggnadsbolaget I Norden AB Class D,Stock - Stockholm equities
"DAIKIN INDUSTRIES, LTD.",6367,"Daikin Industries, Ltd.",Stock - Tokyo equities
DAOU TECHNOLOGY Inc.,None,None,None
DB Financial Investment Co. LTD.,016610,DB Financial Investment Co Ltd,Stock - Seoul equities
DB HiTek Co. LTD,000990,DB HiTek Co Ltd,Stock - Seoul equities
DB INSURANCE CO. LTD,005830,DB Insurance Co Ltd,Stock - Seoul equities
DBS Group Holdings Ltd,DBSDY,DBS Group Holdings Ltd ADR,Stock - OTC Markets equities
DBV Technologies SA Sponsored ADR,None,None,None
DCB Bank Limited,None,None,None
DCC Plc,DCC,DCC plc,Stock - London equities
"DCM Holdings Co., Ltd.",3050,DCM Holdings Co Ltd,Stock - Tokyo equities
DCM Shriram Limited,None,None,None
DCP Midstream LP,DCP,DCP Midstream LP,Stock - NYSE equities
DCP Midstream LP Conv Red Perp Cum Pfd Units Series B,None,None,None
DCP Midstream LP Cum Conv Red Pfd Registered Shs Series A,None,None,None
DCP Midstream LP Cum Red Perp Pfd Registered Shs Series C,None,None,None
DENSO CORPORATION,None,None,None
"DENTSPLY SIRONA, Inc.",XRAY,Dentsply Sirona Inc,Stock - NASDAQ equities
DERIVATIVE SECURITIES (OTHER),None,None,None
DEUTZ AG,DEZG,Deutz AG,Stock - Xetra equities
DFDS A/S,DFDS,DFDS A/S,Stock - Copenhagen equities
DGB Financial Group Co Ltd,None,None,None
"DHC Software Co., Ltd. Class A",None,None,None
"DHI Group, Inc.",DHX,DHI Group Inc,Stock - NYSE equities
"DHT Holdings, Inc.",DHT,DHT Holdings Inc,Stock - NYSE equities
DIC Corporation,None,None,None
"DICE Therapeutics, Inc.",None,None,None
DISH Network Corporation Class A,None,None,None
DKSH Holding AG,DKSH,DKSH Holding AG,Stock - Switzerland equities
"DL E&C Co., Ltd.",DLPN,Dolphin Entertainment Inc,Stock - NASDAQ equities
DLF Limited,None,None,None
DLH Holdings Corp.,DLHC,DLH Holdings Corp,Stock - NASDAQ equities
DLT ASA,DLTX,Dlt ASA,Stock - Oslo equities
DLocal Limited Class A,None,None,None
DMC Global Inc.,BOOM,Dmc Global Inc,Stock - NASDAQ equities
DMCI Holdings Inc.,DMCHY,DMCI Holdings Inc ADR,Stock - OTC Markets equities
"DMG Blockchain Solutions, Inc.",DMGGF,Dmg Blockchain Solutions Inc,Stock - OTC Markets equities
DNB Bank ASA,DNBBY,DNB Bank ASA,Stock - OTC Markets equities
DNO ASA Class A,None,None,None
DO & CO Aktiengesellschaft,DJI,Dow Jones Industrial Average,Index - NYSE indice
DORAL GROUP RENEWABLE ENERGY RESOURCES LTD,DORL,Doral Group Renewable Energy Resources Ltd,Stock - Tel Aviv equities
DOUZONE BIZON CO.LTD,None,None,None
DREAM Unlimited Corp. Class A,None,None,None
DS Smith Plc,SMDS,DS Smith PLC,Stock - London equities
DSV A/S,DSDVY,DSV Panalpina A/S ADR,Stock - OTC Markets equities
"DT Midstream, Inc.",DTM,DT Midstream Inc,Stock - NYSE equities
DTE Energy Co Corporate Units Cons of 1 PC + 1/20 Notes,None,None,None
DTE Energy Company,DTE,DTE Energy Company,Stock - NYSE equities
DUK SAN NEOLUX CO.LTD,None,None,None
DURECT Corporation,DRRX,Durect Corporation,Stock - NASDAQ equities
DWS Group GmbH & Co. KGaA,DWSG,DWS Group GmbH & Co KgaA,Stock - Xetra equities
DXC Technology Co.,DXC,DXC Technology Co,Stock - NYSE equities
"DXP Enterprises, Inc.",DXPE,DXP Enterprises Inc,Stock - NASDAQ equities
DZS Inc.,DZSI,DZS Inc,Stock - NASDAQ equities
"DaShenLin Pharmaceutical Group Co., Ltd. Class A",None,None,None
DaVita Inc.,DVA,DaVita HealthCare Partners Inc,Stock - NYSE equities
"Daan Gene Co., Ltd. Class A",None,None,None
Dabur India Limited,None,None,None
Dacian Gold Ltd.,DCN,Dacian Gold Ltd,Stock - Sydney equities
Dada Nexus Ltd. Sponsored ADR,None,None,None
"Daeduck Electronics Co., Ltd.",353200,Daeduck Electronics Co Ltd,Stock - Seoul equities
"Daekyo Co., Ltd",019685,Daekyo Co Ltd,Stock - Seoul equities
"Daewoo Engineering & Construction Co., Ltd",047040,Daewoo Engineering & Construction,Stock - Seoul equities
Dah Sing Banking Group Limited,None,None,None
Dah Sing Financial Holdings Limited,None,None,None
"Dai Nippon Printing Co., Ltd.",7912,"Dai Nippon Printing Co., Ltd.",Stock - Tokyo equities
Daicel Corporation,None,None,None
"Daifuku Co., Ltd.",6383,Daifuku Co Ltd,Stock - Tokyo equities
Daihen Corporation,None,None,None
"Daiichi Sankyo Company, Limited",None,None,None
Daiken Corporation,None,None,None
"Daikokutenbussan Co., Ltd.",2791,Daikokutenbussan Co Ltd,Stock - Tokyo equities
DaikyoNishikawa Corp.,4246,DaikyoNishikawa Corp,Stock - Tokyo equities
Daily Journal Corporation,None,None,None
Daimler Truck Holding AG,DTGGe,Daimler Truck Holding AG,Stock - Xetra equities
"Dainichiseika Color & Chemicals Mfg.Co., Ltd.",4116,Dainichiseika Color & Chemicals MFG Co Ltd,Stock - Tokyo equities
Daio Paper Corporation,None,None,None
"Daiseki Co., Ltd.",9793,Daiseki Co Ltd,Stock - Tokyo equities
"Daishi Hokuetsu Financial Group, Inc.",7327,Daishi Hokuetsu Financial Group Inc,Stock - Tokyo equities
"Daishin Securities Co., Ltd",003545,Daishin Securities Co Ltd Pref,Stock - Seoul equities
"Daishinku Corp.,",6962,Daishinku Corp,Stock - Tokyo equities
"Daito Pharmaceutical Co., Ltd.",4577,Daito Pharmaceutical Co Ltd,Stock - Tokyo equities
"Daito Trust Construction Co., Ltd.",None,None,None
"Daiwa House Industry Co., Ltd.",1925,"Daiwa House Industry Co., Ltd.",Stock - Tokyo equities
Daiwa House REIT Investment Corporation,None,None,None
Daiwa Office Investment Corporation,None,None,None
Daiwa Securities Group Inc.,8601,Daiwa Securities Group Inc.,Stock - Tokyo equities
Daiwa Securities Living Investment Corporation,None,None,None
"Daiwabo Holdings Co., Ltd.",3107,Daiwabo Holdings Co Ltd,Stock - Tokyo equities
"Dajin Heavy Industry Co., Ltd. Class A",None,None,None
"Daktronics, Inc.",DAKT,Daktronics Inc,Stock - NASDAQ equities
"Dali Foods Group Co., Ltd.",3799,Dali Foods Group Co Ltd,Stock - Hong Kong equities
DallasNews Corporation Class A,None,None,None
Dalmia Bharat Ltd.,DALB,Dalmia Bharat Ltd B,Stock - NSE equities
Dana Incorporated,None,None,None
Danaher Corporation,DHR,Danaher Corporation,Stock - NYSE equities
Danaher Corporation Cum Conv Red Pfd Registered Shs Series A,None,None,None
"Danal Co., Ltd",064260,Danal Co Ltd,Stock - KOSDAQ equities
Danaos Corporation,DAC,Danaos Corporation,Stock - NYSE equities
Danel (Adir Yeoshua) Ltd.,None,None,None
Danieli & C. Officine Meccaniche S.p.A.,DNIYY,Danieli & C Officine Meccaniche SpA ADR,Stock - OTC Markets equities
Danieli & C.Officine Meccaniche SPA Az. di risp. Non Conv.,DNIYY,Danieli & C Officine Meccaniche SpA ADR,Stock - OTC Markets equities
"Danimer Scientific, Inc. Class A",None,None,None
Danone SA,DANO,Danone SA,Stock - Paris equities
Danske Bank A/S,DNKEY,Danske Bank A/S ADR,Stock - OTC Markets equities
Daou Data Corp,032190,Daou Data Corp,Stock - KOSDAQ equities
"Daqin Railway Co., Ltd. Class A",None,None,None
Daqo New Energy Corp Sponsored ADR,None,None,None
Dar Al Arkan Real Estate Development Co.,None,None,None
"Darden Restaurants, Inc.",DRI,Darden Restaurants Inc,Stock - NYSE equities
Darfon Electronics Corp,8163,Darfon Electronics Corp,Stock - Taiwan equities
DarioHealth Corp.,DRIO,DarioHealth Corp,Stock - NASDAQ equities
Darktrace PLC,DARK,Darktrace PLC,Stock - London equities
Darling Ingredients Inc.,DAR,Darling Ingredients Inc,Stock - NYSE equities
"Daseke, Inc.",DSKE,Daseke Inc,Stock - NASDAQ equities
Dassault Aviation SA,AM,Dassault Aviation SA,Stock - Paris equities
Dassault Systemes SA,DASTY,Dassault Systemes SA,Stock - OTC Markets equities
Data I/O Corporation,DAIO,Data I/O Corporation,Stock - NASDAQ equities
Data#3 Limited.,DATA,Evolve Cloud Computing Index Fund ETF Hedged,ETF - Toronto etf
Datadog Inc Class A,None,None,None
Datalogic S.p.A.,None,None,None
"Datang International Power Generation Co., Ltd. Class H",None,None,None
Datto Holding Corp.,MSP,Datto Holding Corp,Stock - NYSE equities
"Dave & Buster's Entertainment, Inc.",DAVE,Dave Inc,Stock - NASDAQ equities
Dave Inc. Class A,None,None,None
Daxin Materials Corporation,None,None,None
"Day One Biopharmaceuticals, Inc.",DAWN,Day One Biopharmaceuticals Inc,Stock - NASDAQ equities
De La Rue plc,DLUEY,De La Rue PLC ADR,Stock - OTC Markets equities
De'Longhi S.p.A.,None,None,None
DeFi Technologies Inc,DEFI,DeFi Technologies Inc,Stock - NEO equities
"DeNA Co., Ltd.",2432,DeNA Co Ltd,Stock - Tokyo equities
"Dear Life Co., Ltd.",3245,Dear Life Co Ltd,Stock - Tokyo equities
Deceuninck nv,None,None,None
Dechra Pharmaceuticals PLC,DPH,Dechra Pharmaceuticals PLC,Stock - London equities
"Decibel Therapeutics, Inc.",DBTX,Decibel Therapeutics Inc,Stock - NASDAQ equities
"Deciphera Pharmaceuticals, Inc.",None,None,None
Deckers Outdoor Corporation,DECK,Deckers Outdoor Corporation,Stock - NYSE equities
Deep Yellow Limited,None,None,None
Deepak Fertilisers & Petrochemicals Corp. Ltd.,DPFE,Deepak Fertilisers and Petrochemicals Corp Ltd,Stock - NSE equities
Deepak Nitrite Limited,DPNTc1:NS,Deepak Nitrite Limited Futures,Stock Future - NSE equities
Deere & Company,DE,Deere & Company,Stock - NYSE equities
Definitive Healthcare Corp. Class A,None,None,None
"Dehua TB New Decoration Material Co., Ltd. Class A",None,None,None
"Del Taco Restaurants, Inc.",TACO,Del Taco Restaurants Inc,Stock - NASDAQ equities
Delek Automotive Systems Ltd.,DLEA,Delek Automotive Systems Ltd,Stock - Tel Aviv equities
Delek Logistics Partners LP,DKL,Delek Logistics Partners LP,Stock - NYSE equities
Delek US Holdings Inc,None,None,None
Deliveroo plc Class A,None,None,None
Delivery Hero SE,None,None,None
Dell Technologies Inc Class C,None,None,None
"Delta Air Lines, Inc.",DAL,Delta Air Lines Inc,Stock - NYSE equities
"Delta Apparel, Inc.",DLA,Delta Apparel Inc,Stock - NYSE equities
Delta Electronics (Thailand) Public Co. Ltd.(Alien Mkt),None,None,None
"Delta Electronics, Inc.",2308,Delta Electronics Inc,Stock - Taiwan equities
Delta Galil Industries Ltd.,ILDELT1=TA,Delta Galil Industries Ltd 5% 31-08-28,Bond - Tel Aviv bond
Deluxe Corporation,DLX,Deluxe Corporation,Stock - NYSE equities
Demant A/S,WILYY,Demant A/S ADR,Stock - OTC Markets equities
Denali Therapeutics Inc.,DNLI,Denali Therapeutics Inc,Stock - NASDAQ equities
Denbury Inc.,DEN,Denbury Resources Inc,Stock - NYSE equities
Denison Mines Corp.,DNN,Denison Mines Corp,Stock - NYSE equities
"Denka Co., Ltd.",4061,Denka Co Ltd,Stock - Tokyo equities
Denny's Corporation,None,None,None
"Dentium Co., Ltd.",None,None,None
Dentsu Group Inc.,None,None,None
"Denyo Co., Ltd.",6517,Denyo Co Ltd,Stock - Tokyo equities
"Deoleo, S.A.",None,None,None
Derayah REIT Fund,None,None,None
Derichebourg SA,None,None,None
"DermTech, Inc.",DMTK,DermTech Inc,Stock - NASDAQ equities
Derwent London plc,DLN,Derwent London PLC,Stock - London equities
Descartes Systems Group Inc.,DSG,Descartes Systems Group Inc,Stock - Toronto equities
"Descente,Ltd.",8114,Descente Ltd,Stock - Tokyo equities
Desert Control AS,DSRT,Desert Control AS,Stock - Oslo equities
"Design Therapeutics, Inc.",DSGN,Design Therapeutics Inc,Stock - NASDAQ equities
Designer Brands Inc. Class A,None,None,None
"Desktop Metal, Inc. Class A",None,None,None
"Despegar.com, Corp.",DESP,Despegar.com Corp,Stock - NYSE equities
Deutsche Bank AG,DB,Deutsche Bank AG NA O.N.,Stock - NYSE equities
Deutsche Beteiligungs AG,DBANn,Deutsche Beteiligungs AG O.N.,Stock - Xetra equities
Deutsche Boerse AG,DB1Gn,Deutsche Boerse AG,Stock - Xetra equities
Deutsche EuroShop AG,DEQGn,Deutsche Euroshop AG,Stock - Xetra equities
Deutsche Lufthansa AG,LHAG,Deutsche Lufthansa AG,Stock - Xetra equities
Deutsche Pfandbriefbank AG,PBBG,Deutsche Pfandbriefbank AG,Stock - Xetra equities
Deutsche Post AG,DPWGn,Deutsche Post AG NA O.N.,Stock - Xetra equities
Deutsche Telekom AG,DTEGn,Deutsche Telekom AG Na,Stock - Xetra equities
