Symbol,Name,marketCap
CERE,Cerevel Therapeutics Holdings Inc Class A,4579039744.0
CLVS,Clovis Oncology Inc,235261984.0
COGT,Cogent Biosciences Inc,265806176.0
CGEM,Cullinan Oncology Inc,594982912.0
RNA,Avidity Biosciences Inc,748477696.0
AUTL,Autolus Therapeutics PLC ADR,322301984.0
DAWN,Day One Biopharmaceuticals Inc,811268608.0
TCRT,Alaunos Therapeutics Inc,
LBPS,4D Pharma PLC ADR,77418912.0
AADI,Aadi Bioscience Inc,394060864.0
AGLE,Aeglea Bio Therapeutics Inc,166208400.0
AFMD,Affimed NV,509137248.0
AGEN,Agenus Inc,603552832.0
AKBA,Akebia Therapeutics Inc,304430400.0
ALBO,Albireo Pharma Inc,611324416.0
AUPH,Aurinia Pharmaceuticals Inc,2362587392.0
ALDX,Aldeyra Therapeutics Inc,217845376.0
ALLO,Allogene Therapeutics Inc,1422309632.0
ALPN,Alpine Immune Sciences Inc,220904704.0
AMTI,Applied Molecular Transport Inc.,301758464.0
ABUS,Arbutus Biopharma Corp,404454272.0
ASND,Ascendis Pharma A/S ADR,6930913792.0
IMMP,Immutep Ltd ADR,193498896.0
DVAX,Dynavax Technologies Corp,1500599552.0
EDIT,Editas Medicine Inc,1080012288.0
DCPH,Deciphera Pharmaceuticals Inc,519894336.0
DNLI,Denali Therapeutics Inc,4259755008.0
SABS,SAB Biotherapeutics Inc,222590976.0
SQZ,SQZ Biotechnologies Co,177943520.0
TKNO,Alpha Teknova Inc,387964832.0
GMAB,Genmab A/S ADR,21683281920.0
ALGS,Aligos Therapeutics Inc,105688176.0
GTH,Genetron Holdings Ltd ADR,305718624.0
SELB,Selecta Biosciences Inc,244962896.0
SNSE,Sensei Biotherapeutics Inc,124528984.0
SESN,Sesen Bio Inc,136792416.0
ROIV,Roivant Sciences Ltd,4930480640.0
STTK,Shattuck Labs Inc,206162928.0
SBTX,Silverback Therapeutics Inc,148967728.0
SGLY,Singularity Future Technology Ltd,
SLDB,Solid Biosciences Inc,116913752.0
SRNE,Sorrento Therapeutics Inc,915944640.0
SPPI,Spectrum Pharmaceuticals Inc,110030872.0
AMPE,Ampio Pharmaceuticals Inc,109067824.0
AKYA,Akoya Biosciences Inc,446493600.0
RLYB,Rallybio Corp,410942688.0
GRCL,Gracell Biotechnologies Inc ADR,250422784.0
DYN,Dyne Therapeutics Inc,335965824.0
ATOS,Atossa Therapeutics Inc,163344960.0
ATHA,Athira Pharma Inc,365293760.0
PRVB,Provention Bio Inc,398626848.0
PBYI,Puma Biotechnology Inc,87904040.0
QTRX,Quanterix Corp,1188494592.0
RANI,Rani Therapeutics Holdings Inc Class A,319135680.0
ANIK,Anika Therapeutics Inc,436857568.0
RETA,Reata Pharmaceuticals Inc Class A,920348672.0
EGRX,Eagle Pharmaceuticals Inc,620125504.0
RLMD,Relmada Therapeutics Inc,537331776.0
RPTX,Repare Therapeutics Inc,583874048.0
APLT,Applied Therapeutics Inc,58984876.0
EWTX,Edgewise Therapeutics Inc,565915776.0
RVNC,Revance Therapeutics Inc,921845248.0
ANVS,Annovis Bio Inc,114137032.0
GMDA,Gamida Cell Ltd,205173856.0
STVN,Stevanato Group SpA,4306669056.0
ABCM,Abcam PLC ADR,3905671168.0
VRCA,Verrica Pharmaceuticals Inc,226757376.0
FEIM,Frequency Electronics Inc,88847416.0
AVRO,AVROBIO Inc,71153576.0
VIRX,Viracta Therapeutics Inc,103726528.0
RCEL,AVITA Medical Inc,217097616.0
VOR,Vor Biopharma Inc,307265472.0
HOWL,Werewolf Therapeutics Inc,186989008.0
ATAI,ATAI Life Sciences NV,899271808.0
ADMA,ADMA Biologics Inc,319176832.0
ACIU,AC Immune SA,315312736.0
FBIO,Fortress Biotech Inc,183318096.0
ZYME,Zymeworks Inc,339378656.0
ARGX,argenx SE ADR,14777601024.0
EVLO,Evelo Biosciences Inc,209028208.0
EFTR,eFFECTOR Therapeutics Inc,178442912.0
ABSI,Absci Corp,812953408.0
TERN,Terns Pharmaceuticals Inc,97279104.0
SMMT,Summit Therapeutics Inc,198360224.0
EIGR,Eiger BioPharmaceuticals Inc,146435696.0
SYNH,Syneos Health Inc Class A,9225477120.0
SYRS,Syros Pharmaceuticals Inc,94779216.0
TCRR,TCR2 Therapeutics Inc,112750184.0
TGTX,TG Therapeutics Inc,1426571136.0
TALS,Talaris Therapeutics Inc,379566080.0
TSHA,Taysha Gene Therapies Inc,282783168.0
TNYA,Tenaya Therapeutics Inc,594036480.0
AVTE,Aerovate Therapeutics Inc,230678272.0
ACRS,Aclaris Therapeutics Inc,727380352.0
TNXP,Tonix Pharmaceuticals Holding Corp,98207088.0
FULC,Fulcrum Therapeutics Inc,426573408.0
TCDA,Tricida Inc,546732864.0
ADVM,Adverum Biotechnologies Inc,136431408.0
ACET,Adicet Bio Inc,558573504.0
ADPT,Adaptive Biotechnologies Corp,2070406400.0
ADAP,Adaptimmune Therapeutics PLC ADR,484232384.0
ADGI,Adagio Therapeutics Inc,710900288.0
VBIV,VBI Vaccines Inc,375665312.0
VALN,Valneva SE ADR,1685822848.0
ABOS,Acumen Pharmaceuticals Inc,207612640.0
PRLD,Prelude Therapeutics Inc,461766592.0
DBTX,Decibel Therapeutics Inc,101189000.0
AXSM,Axsome Therapeutics Inc,1175981056.0
IPSC,Century Therapeutics Inc,652964736.0
CNTA,Centessa Pharmaceuticals PLC ADR,845967424.0
CLLS,Cellectis SA ADR,253100384.0
KNTE,Kinnate Biopharma Inc,413802080.0
HZNP,Horizon Therapeutics PLC,21885956096.0
CTLT,Catalent Inc,17728299008.0
CSTL,Castle Biosciences Inc,1105370112.0
CRBU,Caribou Biosciences Inc,662715008.0
FIXX,Homology Medicines Inc,210884608.0
LABP,Landos Biopharma Inc,85532712.0
LRMR,Larimar Therapeutics Inc,148236048.0
LPTX,Leap Therapeutics Inc,197833424.0
LEGN,Legend Biotech Corp ADR,6070447616.0
LIAN,LianBio ADR,413942528.0
CRDF,Cardiff Oncology Inc,127989280.0
LCTX,Lineage Cell Therapeutics Inc,252836992.0
LGVN,Longeveron Inc Class A,138032960.0
LYEL,Lyell Immunopharma Inc,1471688576.0
MEIP,MEI Pharma Inc,268348912.0
CARA,Cara Therapeutics Inc,550090048.0
CADL,Candel Therapeutics Inc,119349560.0
CABA,Cabaletta Bio Inc,81878328.0
HRTX,Heron Therapeutics Inc,868486272.0
HBIO,Harvard Bioscience Inc,228130704.0
KMDA,Kamada Ltd,274026304.0
IKNA,Ikena Oncology Inc,384576608.0
DBVT,DBV Technologies SA ADR,159310256.0
IMRX,Immuneering Corp Class A,230564960.0
CTKB,Cytek Biosciences Inc,1935015296.0
CYT,Cyteir Therapeutics Inc,212225408.0
IMCR,Immunocore Holdings PLC ADR,1067550272.0
INMB,INmune Bio Inc,196097856.0
CVAC,CureVac NV,3075151360.0
CUE,Cue Biopharma Inc,212798016.0
CNTB,Connect Biopharma Holdings Ltd ADR,254651456.0
CKPT,Checkpoint Therapeutics Inc,174248048.0
CGEN,Compugen Ltd,253810752.0
CDAK,Codiak BioSciences  Inc.,107579496.0
DNAY,Codex DNA Inc,276073824.0
ICLR,ICON PLC,20824813568.0
CLSD,Clearside Biomedical Inc,99643056.0
JANX,Janux Therapeutics Inc,685757504.0
MRVI,Maravai LifeSciences Holdings Inc Class A,3924051200.0
MRNS,Marinus Pharmaceuticals Inc,414410304.0
MTNB,Matinas BioPharma Holdings Inc,146075520.0
ORTX,Orchard Therapeutics PLC ADR,133028936.0
BLI,Berkeley Lights Inc,497288576.0
NUVB,Nuvation Bio Inc Class A,1137697536.0
OCGN,Ocugen Inc,725037056.0
OLK,Olink Holding AB (publ) ADR,2142125952.0
OMGA,Omega Therapeutics Inc,512146944.0
OVID,Ovid Therapeutics Inc,215852272.0
PDSB,PDS Biotechnology Corp,194230848.0
DSGN,Design Therapeutics Inc,808776128.0
PASG,Passage Bio Inc,219306992.0
PHAT,Phathom Pharmaceuticals Inc,558191296.0
PLRX,Pliant Therapeutics Inc,401834848.0
PSTX,Poseida Therapeutics Inc,238774064.0
MTEM,Molecular Templates Inc,149771312.0
MEDP,Medpace Holdings Inc,6261686784.0
MGTX,MeiraGTx Holdings PLC,654727872.0
MREO,Mereo Biopharma Group PLC ADR,130682408.0
VIVO,Meridian Bioscience Inc,1120016896.0
HARP,Harpoon Therapeutics Inc,177169920.0
HRMY,Harmony Biosciences Holdings Inc,2217824000.0
MESO,Mesoblast Ltd ADR,512690112.0
BNR,Burning Rock Biotech Ltd ADR,790382848.0
BRKR,Bruker Corp,10042594304.0
BTX,Brooklyn Immunotherapeutics Inc,113455488.0
MIRM,Mirum Pharmaceuticals Inc,645853248.0
GLUE,Monte Rosa Therapeutics Inc,600391168.0
MBIO,Mustang Bio Inc,89120776.0
BDTX,Black Diamond Therapeutics Inc,130786328.0
BMEA,Biomea Fusion Inc,175140144.0
NGM,NGM Biopharmaceuticals Inc,1221587072.0
NRXP,NRX Pharmaceuticals Inc,177019008.0
NSTG,NanoString Technologies Inc,1661254400.0
GH,Guardant Health Inc,7115919872.0
NAUT,Nautilus Biotechnology Inc,486734656.0
BCYC,Bicycle Therapeutics PLC ADR,1396191744.0
NLTX,Neoleukin Therapeutics Inc,119222960.0
OLMA,Olema Pharmaceuticals Inc,192977600.0
BITF,Bitfarms Ltd,725012224.0
CAN,Canaan Inc ADR,830737600.0
MARA,Marathon Digital Holdings Inc,2622222080.0
RIOT,Riot Blockchain Inc,2089167360.0
EBON,Ebang International Holdings Inc Class A,273177472.0
WMT,Walmart Inc,371561234432.0
VYGR,Voyager Therapeutics Inc,135128336.0
HUT,Hut 8 Mining Corp,1148831744.0
BABA,Alibaba Group Holding Ltd ADR,339536216064.0
ARBK,Argo Blockchain PLC ADR,439060928.0
HIVE,HIVE Blockchain Technologies Ltd,768686016.0
ING,ING Groep NV ADR,56445730816.0
GS,Goldman Sachs Group Inc,120168128512.0
SDIG,Stronghold Digital Mining Inc Class A,230185152.0
RY,Royal Bank of Canada,162505687040.0
HOOD,Robinhood Markets Inc Class A,11156261888.0
MOGO,Mogo Inc,176366432.0
CUBI,Customers Bancorp Inc,1971322112.0
BTCM,BIT Mining Ltd ADR Class A,210505728.0
BTBT,Bit Digital Inc,296194944.0
BKKT,Bakkt Holdings Inc Class A,388717248.0
SHEL,Shell PLC ADR,205585219584.0
SAP,SAP SE ADR,144811884544.0
RIO,Rio Tinto PLC ADR,128196861952.0
BBVA,Banco Bilbao Vizcaya Argentaria SA ADR,40131301376.0
SAN,Banco Santander SA ADR,67096768512.0
SLNHP,Soluna Holdings 9.0 Cumulative Perpetual Pref Shs Series A,
KERN,Akerna Corp,41492924.0
UBS,UBS Group AG,71597604864.0
SONY,Sony Group Corp ADR,133981757440.0
OCFT,OneConnect Financial Technology Co Ltd ADR,623990400.0
LFC,China Life Insurance Co Ltd ADR,109751156736.0
IBN,ICICI Bank Ltd ADR,69467553792.0
HD,Home Depot Inc,367113011200.0
HDB,HDFC Bank Ltd ADR,121839321088.0
GREEL,Greenidge Generation Holdings 8 50 Senior Notes due 2026,
CORZ,Core Scientific Inc,
FTFT,Future Fintech Group Inc,56326944.0
MBTC,Nocturne Acquisition Corp,149142000.0
BCS,Barclays PLC ADR,45641940992.0
MUFG,Mitsubishi UFJ Financial Group Inc ADR,84220960768.0
MIGI,Mawson Infrastructure Group Inc,304294848.0
LYG,Lloyds Banking Group PLC ADR,49883959296.0
KR,Kroger Co,33593845760.0
X,United States Steel Corp,6299130880.0
AER,AerCap Holdings NV,15270717440.0
HESM,Hess Midstream LP Class A,7855280640.0
HPQ,HP Inc,39530106880.0
MS,Morgan Stanley,181754036224.0
PAGP,Plains GP Holdings LP Class A,2257871360.0
PYT,Merrill Lynch Depositor PPLUS Floating Rate TRUPS Series GSC-2,
ZTS,Zoetis Inc Class A,92936142848.0
UZD,United States Cellular 6 250 Senior Notes due 2069,
WES,Western Midstream Partners Common Units,10904013824.0
EXCVV,Exelon Corp,
FOXA,Fox Corp Class A,23508779008.0
OXY,Occidental Petroleum Corp,38508036096.0
SBR,Sabine Royalty Units,712198784.0
SIRI,Sirius XM Holdings Inc,24676853760.0
LLY,Eli Lilly and Co,224502579200.0
KO,Coca-Cola Co,262441009152.0
JNJ,Johnson & Johnson,435958579200.0
CTXS,Citrix Systems Inc,12716756992.0
DVA,DaVita Inc,10893569024.0
VALE,Vale SA ADR,84004642816.0
KHC,Kraft Heinz Co,42339540992.0
FYBR,Frontier Communications Parent Inc,6814094848.0
CNQ,Canadian Natural Resources Ltd,62006431744.0
FANG,Diamondback Energy Inc,23637903360.0
APH,Amphenol Corp Class A,45184114688.0
FLEX,Flex Ltd,8000591360.0
NLSN,Nielsen Holdings PLC,6442740224.0
KMI,Kinder Morgan Inc,38977982464.0
CAT,Caterpillar Inc,108128903168.0
LEVLP,Level One Bancorp  Depositary Shares 1 100th 7 50 Non Cumulative Perpetual,
KDP,Keurig Dr Pepper Inc,54024269824.0
GM,General Motors Co,70326173696.0
FMX,Fomento Economico Mexicano SAB de CV ADR,70486441984.0
EPD,Enterprise Products Partners Units,52698435584.0
EVTL,Vertical Aerospace Ltd,1466036480.0
NGL,NGL Energy Partners Units,292882432.0
DIS,Walt Disney Co,274642042880.0
VLO,Valero Energy Corp,36680765440.0
JEF,Jefferies Financial Group Inc,9081692160.0
BKR,Baker Hughes Co Class A,24828887040.0
VTRS,Viatris Inc,18177130496.0
CEG,Constellation Energy Corp,
GE,General Electric Co,106194313216.0
OTEX,Open Text Corp,12003172352.0
SYY,Sysco Corp,41605578752.0
STZ,Constellation Brands Inc Class A,44466343936.0
LOW,Lowe's Companies Inc,152233132032.0
ENB,Enbridge Inc,84053966848.0
CQP,Cheniere Energy Partners Units,23223566336.0
CIXX,CI Financial Corp,3522383360.0
ARMK,Aramark,9239520256.0
AMBP,Ardagh Metal Packaging SA,5906145792.0
REYN,Reynolds Consumer Products Inc,6091430400.0
BP,BP PLC ADR,110913454080.0
MGIC,Magic Software Enterprises Ltd,922142144.0
BAM,Brookfield Asset Management Inc Class A,89006628864.0
TTE,TotalEnergies SE ADR,154406502400.0
BRX,Brixmor Property Group Inc,7314813952.0
SO,Southern Co,69787828224.0
XOM,Exxon Mobil Corp,334796226560.0
THC,Tenet Healthcare Corp,8680419328.0
F,Ford Motor Co,69914206208.0
HAL,Halliburton Co,29077790720.0
TFX,Teleflex Inc,14865792000.0
PSX,Phillips 66,39685234688.0
MSI,Motorola Solutions Inc,36111863808.0
SUN,Sunoco Common Units,3505789184.0
BKI,Black Knight Inc,10177464320.0
LVS,Las Vegas Sands Corp,35303976960.0
WY,Weyerhaeuser Co,30572083200.0
CS,Credit Suisse Group AG ADR,23798876160.0
MPLX,MPLX Common Units,33818556416.0
MEOH,Methanex Corp,3805545728.0
CSTE,Caesarstone Ltd,403988416.0
GSK,GlaxoSmithKline PLC ADR,108154576896.0
SCCO,Southern Copper Corp,51263000576.0
RCL,Royal Caribbean Cruises Ltd,21086355456.0
ECOL,US Ecology Inc,1477296640.0
BMY,Bristol-Myers Squibb Co,145626415104.0
WMB,Williams Companies Inc,36548104192.0
OHI,Omega Healthcare Investors Inc,6803589632.0
MO,Altria Group Inc,91323088896.0
NEM,Newmont Corporation,51314941952.0
AMX,America Movil SAB de CV ADR Series L,59863744512.0
BTI,British American Tobacco PLC ADR,106886668288.0
MMM,3M Co,90239516672.0
EOG,EOG Resources Inc,66355056640.0
NWL,Newell Brands Inc,10600968192.0
BNS,Bank of Nova Scotia,88414142464.0
IEP,Icahn Enterprises Units,15312186368.0
PRGO,Perrigo Company PLC,4991108096.0
PSHG,Performance Shipping Inc,14892399.0
SMP,Standard Motor Products Inc,1036592832.0
JAZZ,Jazz Pharmaceuticals PLC,8747739136.0
GIS,General Mills Inc,40794886144.0
ST,Sensata Technologies Holding PLC,8941170688.0
DLTR,Dollar Tree Inc,30809974784.0
POST,Post Holdings Inc,6789412352.0
AZN,AstraZeneca PLC ADR,178304958464.0
CPB,Campbell Soup Co,13285523456.0
NLOK,NortonLifeLock Inc,17150137344.0
YUM,Yum! Brands Inc,35084599296.0
PFG,Principal Financial Group Inc,19665469440.0
DISH,DISH Network Corp Class A,16376996864.0
CM,Canadian Imperial Bank of Commerce,57279295488.0
MAR,Marriott International Inc Class A,55799271424.0
VORB,Virgin Orbit Holdings Inc,2495048192.0
EHC,Encompass Health Corp,6381448704.0
XPO,XPO Logistics Inc,7613369344.0
CDK,CDK Global Inc,5115621888.0
IRM,Iron Mountain Inc,12638858240.0
TGT,Target Corp,99930898432.0
TD,Toronto-Dominion Bank,152390729728.0
DVN,Devon Energy Corp,35380019200.0
VST,Vistra Corp,10424765440.0
TRGP,Targa Resources Corp,14319908864.0
SRE,Sempra Energy,43152011264.0
KRC,Kilroy Realty Corp,7986668032.0
ET,Energy Transfer Units,32131635200.0
ITW,Illinois Tool Works Inc,68793294848.0
DCUE,Dominion Energy Units Series A,60729212928.0
MGP,MGM Growth Properties LLC Class A,6003249152.0
EQNR,Equinor ASA ADR,99725328384.0
WMPN,William Penn Bancorp,191452976.0
SCI,Service Corporation International,10358122496.0
NBHC,National Bank Holdings Corp Class A,1389764608.0
FE,FirstEnergy Corp,23262541824.0
CVX,Chevron Corp,263457390592.0
OMF,OneMain Holdings Inc,6739746304.0
AXL,American Axle & Manufacturing Holdings Inc,849754432.0
AMCR,Amcor PLC,17513857024.0
NXST,Nexstar Media Group Inc Class A,7229564416.0
BURL,Burlington Stores Inc,14994774016.0
BYD,Boyd Gaming Corp,7677725184.0
BSX,Boston Scientific Corp,60889821184.0
WCN,Waste Connections Inc,31109531648.0
MPC,Marathon Petroleum Corp,45833641984.0
SHW,Sherwin-Williams Co,70918774784.0
WBA,Walgreens Boots Alliance Inc,40916434944.0
BHF,Brighthouse Financial Inc,4449909248.0
VICI,VICI Properties Inc,17711118336.0
VEON,VEON Ltd ADR,2518747392.0
NVS,Novartis AG ADR,192854769664.0
LEA,Lear Corp,9970280448.0
CCO,Clear Channel Outdoor Holdings Inc,1525080960.0
CLF,Cleveland-Cliffs Inc,9236680704.0
SUZ,Suzano SA ADR,15363533824.0
ROP,Roper Technologies Inc,46644412416.0
RPRX,Royalty Pharma PLC Class A,16798176256.0
LPLA,LPL Financial Holdings Inc,14714260480.0
VTR,Ventas Inc,19982751744.0
STOR,STORE Capital Corp,8192358912.0
SLB,Schlumberger NV,55152832512.0
FUN,Cedar Fair Units,3498075136.0
ACI,Albertsons Companies Inc Class A,14056429568.0
DTM,DT Midstream Inc,4955605504.0
PBFX,PBF Logistics Units,929629248.0
DUKB,Duke Energy Corporation 5.625% Junior Subordinated Debentures Exp 15 Sep 2078,
LAMR,Lamar Advertising Co Class A,11074534400.0
PM,Philip Morris International Inc,170068099072.0
DGX,Quest Diagnostics Inc,15504508928.0
TV,Grupo Televisa SAB ADR,5919654400.0
PFE,Pfizer Inc,279520935936.0
HRL,Hormel Foods Corp,25750370304.0
VNT,Vontier Corp,4642387456.0
ARE,Alexandria Real Estate Equities Inc,29368733696.0
MODV,ModivCare Inc,1516458368.0
DHT,DHT Holdings Inc,921784704.0
XRX,Xerox Holdings Corp,3670206720.0
A,Agilent Technologies Inc,40612491264.0
CNI,Canadian National Railway Co,86029148160.0
PIAI,Prime Impact Acquisition I Class A,399028448.0
HTZ,Hertz Global Holdings Inc,9457093632.0
BHC,Bausch Health Companies Inc,8906845184.0
TJX,TJX Companies Inc,81103904768.0
PG,Procter & Gamble Co,375716773888.0
PEAK,Healthpeak Properties Inc,17311657984.0
ABT,Abbott Laboratories,217110642688.0
FLS,Flowserve Corp,4220683520.0
GTN,Gray Television Inc,2109155840.0
PARR,Par Pacific Holdings Inc,890828288.0
AL,Air Lease Corp Class A,4719062016.0
PGRE,Paramount Group Inc,1953087488.0
DHIL,Diamond Hill Investment Group Inc Class A,561010304.0
HGV,Hilton Grand Vacations Inc,6007429120.0
SCHW,Charles Schwab Corp,165881233408.0
HPP,Hudson Pacific Properties Inc,3656422400.0
MMP,Magellan Midstream Partners Units,10117634048.0
LNT,Alliant Energy Corp,14238029824.0
RXT,Rackspace Technology Inc,2629600768.0
BMO,Bank of Montreal,75898306560.0
GRC,Gorman-Rupp Co,971648192.0
LH,Laboratory Corporation of America Holdings,25386508288.0
PNR,Pentair PLC,9756582912.0
STAR,iStar Inc,1723002368.0
CLX,Clorox Co,17591140352.0
ES,Eversource Energy,28264292352.0
NIMC,NiSource Units Series A,
ELC,Entergy Louisiana Collateral Mortgage Bonds 4.875 Series Exp 01 Sept 2066,
CYH,Community Health Systems Inc,1713440768.0
MMX,Maverix Metals Inc,663594752.0
KOF,Coca-Cola Femsa SAB de CV ADR Series L,11004147712.0
DEO,Diageo PLC ADR,115390685184.0
ESGR,Enstar Group Ltd,4927394304.0
ETR,Entergy Corp,21002514432.0
SGMS,Scientific Games Corp,5950954496.0
DCP,DCP Midstream Units,6509603840.0
XRAY,DENTSPLY SIRONA Inc,11704219648.0
MX,MagnaChip Semiconductor Corp,855883456.0
DHR,Danaher Corp,194007662592.0
HEES,H&E Equipment Services Inc,1382469760.0
GATX,GATX Corp,3662889984.0
CRK,Comstock Resources Inc,1732961920.0
SVC,Service Properties Trust,1363659904.0
XYL,Xylem Inc,16102504448.0
BANC,Banc of California Inc,1218686464.0
HTA,Healthcare Trust Of America Inc Class A,6779726848.0
ARW,Arrow Electronics Inc,8673709056.0
PFSI,PennyMac Financial Services Inc,3577169408.0
ABG,Asbury Automotive Group Inc,3729011968.0
SPH,Suburban Propane Partners Common Units,938159104.0
LEG,Leggett & Platt Inc,5131013120.0
ADTN,ADTRAN Inc,996479552.0
IVZ,Invesco Ltd,10524583936.0
SYK,Stryker Corp,94479753216.0
AVNT,Avient Corp,4816107008.0
CAR,Avis Budget Group Inc,10990912512.0
EL,Estee Lauder Companies Inc Class A,108980969472.0
STLD,Steel Dynamics Inc,12226567168.0
SCS,Steelcase Inc Class A,1355240704.0
NFE,New Fortress Energy Inc Class A,4627525632.0
FTV,Fortive Corp,23359455232.0
BRO,Brown & Brown Inc,18639087616.0
LNC,Lincoln National Corp,12570568704.0
CL,Colgate-Palmolive Co,66804215808.0
GT,Goodyear Tire & Rubber Co,4506313728.0
SBGI,Sinclair Broadcast Group Inc Class A,2155863296.0
SOFO,Sonic Foundry Inc,29923734.0
TCI,Transcontinental Realty Investors Inc,331145152.0
LSI,Life Storage Inc,10886274048.0
TNL,Travel + Leisure Co,5059609600.0
LTH,Life Time Group Holdings Inc,3162322688.0
REAX,Real Brokerage Inc,463215968.0
ED,Consolidated Edison Inc,29368240128.0
RLGY,Realogy Holdings Corp,2011143040.0
AM,Antero Midstream Corp,4746389504.0
STE,STERIS plc,22683772928.0
COST,Costco Wholesale Corp,224624918528.0
GFLU,GFL Environmental Units,
EEX,Emerald Holding Inc,234947232.0
PCG,PG&E Corp,25385865216.0
ONCR,Oncorus Inc,69942392.0
PWR,Quanta Services Inc,14172951552.0
CCS,Century Communities Inc,2077308160.0
EIX,Edison International,22817275904.0
CLR,Continental Resources Inc,20969725952.0
KODK,Eastman Kodak Co,349215776.0
ALLE,Allegion PLC,10613716992.0
AA,Alcoa Corp,13597626368.0
CNK,Cinemark Holdings Inc,2058763392.0
DUK,Duke Energy Corp,76861546496.0
CNO,CNO Financial Group Inc,3088990464.0
CHNG,Change Healthcare Inc,6310888960.0
CHDN,Churchill Downs Inc,8437368832.0
CVE,Cenovus Energy Inc,31296339968.0
NRG,NRG Energy Inc,9470372864.0
CUBE,CubeSmart,11243528192.0
KIM,Kimco Realty Corp,14368154624.0
TMO,Thermo Fisher Scientific Inc,221135798272.0
NS,NuStar Energy Units,1817716608.0
AROC,Archrock Inc,1283236480.0
ARNC,Arconic Corp (PITTSBURGH),3422492160.0
KMB,Kimberly-Clark Corp,44607762432.0
CC,Chemours Co,4851348992.0
TROX,Tronox Holdings PLC,3478933248.0
DHC,Diversified Healthcare Trust,695475520.0
EDR,Endeavor Group Holdings Inc Class A,8253437440.0
AEE,Ameren Corp,21929998336.0
MLCO,Melco Resorts & Entertainment Ltd ADR,5182424576.0
RGA,Reinsurance Group of America Inc,7560096256.0
UNM,Unum Group,5837132800.0
ACC,American Campus Communities Inc,6949499904.0
HIW,Highwoods Properties Inc,4387217408.0
APD,Air Products and Chemicals Inc,53985869824.0
ENLC,EnLink Midstream Common Units,4142763520.0
USAC,USA Compression Partners Common Units,1572956800.0
MSN,Emerson Radio Corp,15361171.0
VOYA,Voya Financial Inc,7680853504.0
SWCH,Switch Inc Class A,6320256000.0
NEU,NewMarket Corp,3270403328.0
BXSL,Blackstone Secured Lending Fund,4970420736.0
VMC,Vulcan Materials Co,24403122176.0
COTY,Coty Inc Class A,7529979392.0
BGB,Blackstone Strategic Credit Fund,580637184.0
M,Macy's Inc,7326104576.0
DBD,Diebold Nixdorf Inc,708331904.0
FLR,Fluor Corp,3003590912.0
FNF,Fidelity National Financial Inc,13600629760.0
BEN,Franklin Resources Inc,15264569344.0
BBWI,Bath & Body Works Inc,13432768512.0
BAX,Baxter International Inc,42784215040.0
FLO,Flowers Foods Inc,5929629696.0
ENIC,Enel Chile SA ADR,2517660672.0
ENDP,Endo International PLC,724380096.0
MSC,Studio City International Holdings Ltd ADR Class A,458311584.0
EW,Edwards Lifesciences Corp,67259506688.0
AGM,Federal Agricultural Mortgage Corp Class C,1307831040.0
TAYD,Taylor Devices Inc,35530940.0
EPC,Edgewell Personal Care Co,1940163968.0
FTAI,Fortress Transportation and Infrastructure Investors LLC,2614395392.0
WTRG,Essential Utilities Inc,11403764736.0
EC,Ecopetrol SA ADR,30642446336.0
DPRO,Draganfly Inc,40839388.0
MGM,MGM Resorts International,20262348800.0
LDHAU,LDH Growth I Units,
JBI,Janus International Group Inc,1481741824.0
NCR,NCR Corp,5526839808.0
ITT,ITT Inc,7438499840.0
PKOH,Park Ohio Holdings Corp,234865856.0
RBA,Ritchie Bros Auctioneers Inc,6345512960.0
PINC,Premier Inc Class A,4473480704.0
NWS,News Corp Class B,13312983040.0
MRO,Marathon Oil Corp,16512770048.0
AMH,American Homes 4 Rent Class A,15377131520.0
AXS,AXIS Capital Holdings Ltd,4754939904.0
PPG,PPG Industries Inc,35436847104.0
OKE,ONEOK Inc,28058355712.0
WU,Western Union Co,7967778816.0
R,Ryder System Inc,4025923840.0
NBR,Nabors Industries Ltd,1015467136.0
CTAS,Cintas Corp,38407512064.0
SLMBP,SLM Floating Rate Non Cumulative Pref Shs Series B,3767527424.0
TWNK,Hostess Brands Inc Class A,2894846720.0
PEG,Public Service Enterprise Group Inc,32751855616.0
CAH,Cardinal Health Inc,14487519232.0
CNP,CenterPoint Energy Inc,16922783744.0
CSL,Carlisle Companies Inc,11995132928.0
CURO,CURO Group Holdings Corp,574208320.0
OVV,Ovintiv Inc,10899787776.0
HUN,Huntsman Corp,7995196416.0
RSG,Republic Services Inc,37519224832.0
CHK,Chesapeake Energy Corp,7936273408.0
RDN,Radian Group Inc,4217912064.0
PVH,PVH Corp,6803222528.0
ALSN,Allison Transmission Holdings Inc,4154760960.0
PXD,Pioneer Natural Resources Co,54698221568.0
IGT,International Game Technology PLC,5890947072.0
AMCX,AMC Networks Inc Class A,1788535680.0
LYB,LyondellBasell Industries NV Class A,33049499648.0
MDWT,Midwest Holding Inc,79610024.0
RIG,Transocean Ltd,2372928000.0
AESC,AES Units,
ATO,Atmos Energy Corp,14353083392.0
BIP,Brookfield Infrastructure Partners Units,18579353600.0
BGS,B&G Foods Inc,2000771456.0
AXTA,Axalta Coating Systems Ltd,6418947072.0
LBRT,Liberty Oilfield Services Inc Class A,2159657216.0
SRC,Spirit Realty Capital Inc,5618277376.0
SWN,Southwestern Energy Co,4750106112.0
