,index,0
33,DKNG,"DraftKings Inc. operates as a digital sports entertainment and gaming company in the United States. It operates through two segments, Business-to-Consumer and Business-to-Business. The company provides users with daily sports, sports betting, and iGaming opportunities. It is also involved in the design, development, and licensing of sports betting and casino gaming platform software for online and retail sportsbook, and casino gaming products. The company distributes its product offerings through various channels, including traditional websites and direct app downloads, as well as direct-to-consumer digital platforms, such as the Apple App store and the Google Play store. DraftKings Inc. was founded in 2011 and is headquartered in Boston, Massachusetts."
34,TWTR,"Twitter, Inc. operates as a platform for public self-expression and conversation in real time. The company offers Twitter, a platform that allows users to consume, create, distribute, and discover content. It also provides promoted products and services, such as promoted tweets, promoted accounts, and promoted trends, which enable its advertisers to promote their brands, products, and services. In addition, the company offers MoPub, a mobile-focused advertising exchange that combines ad serving, ad network mediation, and a real-time bidding exchange into one monetization platform; Twitter Audience platform, an advertising offering that enables advertisers to extend advertising campaigns; Developer and Enterprise solutions, a software-as-a-service platform that enables developers to build products on Twitter; and paid enterprise access for its public data streams. Twitter, Inc. was founded in 2006 and is headquartered in San Francisco, California."
35,EBAY,"eBay Inc. operates marketplace platforms that connect buyers and sellers worldwide. The company's Marketplace platform includes its online marketplace at ebay.com and the eBay suite of mobile apps. Its platforms enable users to list, buy, sell, and pay for items through various online, mobile, and offline channels that include retailers, distributors, liquidators, import and export companies, auctioneers, catalog and mail-order companies, classifieds, directories, search engines, commerce participants, shopping channels, and networks. eBay Inc. has a strategic partnership with Bidadoo, Inc. to transform heavy equipment industry. The company was founded in 1995 and is headquartered in San Jose, California."
36,PLBY,"PLBY Group, Inc. operates as a pleasure and leisure company worldwide. The company operates through three segments: Licensing, Direct-to-Consumer, and Digital Subscriptions and Content. It offers sexual wellness products, such as condoms, lubricants, libido enhancers, bedroom accessories and sex toys, intimates and lingerie, intimacy kits, CBD-based arousal offerings, and adult content; style and apparel products for men and women; gaming and lifestyle products, including digital casino and social games, and other home and hospitality offerings; and beauty and grooming products for men and women, such as skincare, haircare, bath and body, grooming, cosmetics, and fragrance. The company offers its products under its flagship brand, Playboy. It owns and operates digital commerce retail platforms, such as yandy.com, loversstores.com, pleasureforall.com, and playboy.com; and Lovers retail stores. In addition, the company licenses content for programming on Playboy television; trademarks under multi-year arrangements with consumer products, online gaming, and location-based entertainment businesses; and programming content to cable television operators and direct-to-home satellite television operators. Further, its business covers the subscription sale of PlayboyPlus.com and Playboy.tv, which are online content platforms. The company was founded in 1953 and is headquartered in Los Angeles, California."
37,HAS,"Hasbro, Inc., together with its subsidiaries, operates as a play and entertainment company. The company's U.S. and Canada segment markets and sells action figures, arts and crafts, and creative play products; electronic toys and related electronic interactive products; fashion and other dolls, infant products, play sets, preschool toys, plush products, and sports action blasters and accessories; and vehicles and toy-related specialty products, as well as traditional board games, and trading card and role-playing games primarily in the United States and Canada. Its International segment markets and sells toy and game products primarily in the Europe, the Asia Pacific, and Latin and South American regions. The company's Entertainment, Licensing and Digital segment engages in consumer products licensing, digital gaming, Hasbro legacy movie, and television entertainment operations. Its eOne segment acquires, finances, develops, produces, distributes, and sells entertainment content, including film, television, and music, as well as family programming, merchandising and licensing, digital content, and live entertainment. The company offers its products primarily under the MAGIC: THE GATHERING, MY LITTLE PONY, NERF, TRANSFORMERS, PLAY-DOH, MONOPOLY, BABY ALIVE, POWER RANGERS, PEPPA PIG, and PJ MASKS brands, as well as through premier partner brands. The company sells its products to wholesalers, distributors, chain stores, discount stores, drug stores, mail order houses, catalog stores, department stores, and other traditional retailers, as well as e-commerce retailers; and directly to customer through Hasbro PULSE e-commerce website. Hasbro, Inc. was founded in 1923 and is headquartered in Pawtucket, Rhode Island."
38,SNMSF,"Spin Master Corp., a children's entertainment company, creates, designs, manufactures, licenses, and markets various toys, entertainment franchises, and digital games in North America, Europe, and internationally. Its product categories include activities, games and puzzles, and plush; pre-school and girls; boys action and construction; remote control and interactive characters; and outdoor. The company offers its products under the PAW Patrol, Bakugan, Kinetic Sand, Air Hogs, Hatchimals, Rubik's Cube, GUND, Toca Boca, Sago Mini, Etch A Sketch, and Meccano brands. It also produced television, video-on-demand, subscription video-on-demand, and movies. The company was founded in 1994 and is headquartered in Toronto, Canada."
39,TKAT,"Takung Art Co., Ltd., through its subsidiaries, operates an electronic online platform for artists, art dealers, and art investors to offer and trade in valuable artwork primarily in the People's Republic of China. Its electronic online platform is located at www.takungae.com. The company offers online listing and trading services that allow artists/art dealers/owners to access art trading market where they can engage with a range of investors. Its platform offers and trades in various artwork, such as calligraphy, paintings, sculptures, crafts, jade, jewelry, metal ware, ceramics, and antique furniture. The company serves traders, original owners, and offering agents. Takung Art Co., Ltd. was founded in 2012 and is headquartered in Tsim Sha Tsui, Hong Kong."
40,SQ,"Block, Inc., together with its subsidiaries, creates tools that enables sellers to accept card payments and provides reporting and analytics, and next-day settlement. It provides hardware products, including Magstripe reader, which enables swiped transactions of magnetic stripe cards; Contactless and chip reader that accepts Europay, MasterCard, and Visa (EMV) chip cards and Near Field Communication payments; Square Stand, which enables an iPad to be used as a payment terminal or full point of sale solution; Square Register that combines its hardware, point-of-sale software, and payments technology; Square Terminal, a payments device and receipt printer to replace traditional keypad terminals, which accepts tap, dip, and swipe payments. The company also offers various software products, including Square Point of Sale; Square Appointments; Square for Retail; Square for Restaurants; Square Online and Square Online Checkout; Square Invoices; Square Virtual Terminal; Square Team Management; Square Contracts; Square Loyalty, Marketing, and Gift Cards; and Square Dashboard. In addition, it offers a developer platform, which includes application programming interfaces and software development kits. Further, the company provides Cash App, which enables to send, spend, and store money; and Weebly that offers customers website hosting and domain name registration solutions. It serves in the United States, Canada, Japan, Australia, and the United Kingdom. The company was formerly known as Square, Inc. and changed its name to Block, Inc. in December 2021. Block, Inc. was founded in 2009 and is headquartered in San Francisco, California."
41,PYPL,"PayPal Holdings, Inc. operates as a technology platform and digital payments company that enables digital and mobile payments on behalf of consumers and merchants worldwide. Its payment solutions include PayPal, PayPal Credit, Braintree, Venmo, Xoom, Hyperwallet, and iZettle products. The company's payments platform allows consumers to send and receive payments, withdraw funds to their bank accounts, and hold balances in their PayPal accounts in various currencies. It also offers gateway services that enable merchants to accept payments online with credit or debit cards, as well as digital wallets. PayPal Holdings, Inc. was founded in 1998 and is headquartered in San Jose, California."
42,COIN,"Coinbase Global, Inc. provides financial infrastructure and technology for the cryptoeconomy. It offers the primary financial account in the cryptoeconomy for retail users; a marketplace with a pool of liquidity for transacting in crypto assets for institutions; and technology and services that enable ecosystem partners to build crypto-based applications and securely accept crypto assets as payment. The company was founded in 2012 and is based in Wilmington, Delaware."
43,MSTR,"MicroStrategy Incorporated provides enterprise analytics software and services worldwide. It offers MicroStrategy 2021, an enterprise platform, which provides a modern analytics experience by delivering insights across multiple devices to users via hyperintelligence products, visualization and reporting capabilities, mobility features, and custom applications developed on the platform; analysts and data scientists with seamless access to trusted, governed data directly within their tools; and APIs and gateways, multiple deployment options, enterprise semantic graph, scalability, and security. The company also provides MicroStrategy Support that helps customers to achieve their system availability and uptime goals, and to improve the overall experience through highly responsive troubleshooting and proactive technical product support. In addition, it offers MicroStrategy Consulting that provides customers with architecture and implementation services to help them quickly realize results, and helps to achieve returns on investment derived from understanding of data; and MicroStrategy Education that offers free and paid learning options. The company provides its services through enterprise sales force and channel partners. It serves companies from a range of industries, including retail, consulting, technology, manufacturing, finance, banking, insurance, healthcare, education, and telecommunications, as well as the public sector. The company was founded in 1989 and is headquartered in Tysons Corner, Virginia."
44,MARA,"Marathon Digital Holdings, Inc. operates as a digital asset technology company that mines cryptocurrencies with a focus on the blockchain ecosystem and the generation of digital assets in United States. The company was formerly known as Marathon Patent Group, Inc. and changed its name to Marathon Digital Holdings, Inc. in February 2021. Marathon Digital Holdings, Inc. was founded in 2010 and is headquartered in Las Vegas, Nevada."
45,RIOT,"Riot Blockchain, Inc., together with its subsidiaries, focuses on cryptocurrency mining operation in North America. The company primarily focuses on bitcoin mining. As of December 31, 2020, it operated a fleet of 7,043 miners. The company was formerly known as Bioptix, Inc. and changed its name to Riot Blockchain, Inc. in October 2017. Riot Blockchain, Inc. was incorporated in 2000 and is based in Castle Rock, Colorado."
46,AMD,"Advanced Micro Devices, Inc. operates as a semiconductor company worldwide. The company operates in two segments, Computing and Graphics; and Enterprise, Embedded and Semi-Custom. Its products include x86 microprocessors as an accelerated processing unit, chipsets, discrete and integrated graphics processing units (GPUs), data center and professional GPUs, and development services; and server and embedded processors, and semi-custom System-on-Chip (SoC) products, development services, and technology for game consoles. The company provides processors for desktop and notebook personal computers under the AMD Ryzen, AMD Ryzen PRO, Ryzen Threadripper, Ryzen Threadripper PRO, AMD Athlon, AMD Athlon PRO, AMD FX, AMD A-Series, and AMD PRO A-Series processors brands; discrete GPUs for desktop and notebook PCs under the AMD Radeon graphics, AMD Embedded Radeon graphics brands; and professional graphics products under the AMD Radeon Pro and AMD FirePro graphics brands. It also offers Radeon Instinct, Radeon PRO V-series, and AMD Instinct accelerators for servers; chipsets under the AMD trademark; microprocessors for servers under the AMD EPYC; embedded processor solutions under the AMD Athlon, AMD Geode, AMD Ryzen, AMD EPYC, AMD R-Series, and G-Series processors brands; and customer-specific solutions based on AMD CPU, GPU, and multi-media technologies, as well as semi-custom SoC products. It serves original equipment manufacturers, public cloud service providers, original design manufacturers, system integrators, independent distributors, online retailers, and add-in-board manufacturers through its direct sales force, independent distributors, and sales representatives. The company was incorporated in 1969 and is headquartered in Santa Clara, California."
47,U,"Unity Software Inc. operates a real-time 3D development platform. Its platform provides software solutions to create, run, and monetize interactive, real-time 2D and 3D content for mobile phones, tablets, PCs, consoles, and augmented and virtual reality devices. The company offers its solutions directly through its online store and field sales operations in North America, Denmark, Finland, the United Kingdom, Germany, Japan, China, Singapore, and South Korea, as well as indirectly through independent distributors and resellers worldwide. The company was founded in 2004 and is headquartered in San Francisco, California."
48,RBLX,"Roblox Corporation develops and operates an online entertainment platform. It offers Roblox Client, an application that allows users to explore 3D digital worlds; and Roblox Studio, a toolset that allows developers and creators to build, publish, and operate 3D experiences and other content. The company also provides Roblox Cloud, a solution that provides services and infrastructure to power the human co-experience platform. It serves customers in the United States, Canada, Europe, the Asia-Pacific, and internationally. Roblox Corporation was incorporated in 2004 and is based in San Mateo, California."
49,SNOW,"Snowflake Inc. provides cloud-based data platform in the United States and internationally. The company's platform offers Data Cloud, an ecosystem that enables customers to consolidate data into a single source of truth to drive meaningful business insights, build data-driven applications, and share data. Its platform is used by various organizations of various sizes in a range of industries. The company was formerly known as Snowflake Computing, Inc. and changed its name to Snowflake Inc. in April 2019. Snowflake Inc. was incorporated in 2012 and is based in Bozeman, Montana."
50,CAN,"Canaan Inc. engages in the research, design, and sale of integrated circuit (IC) final system products by integrating IC products for bitcoin mining and related components primarily in the People's Republic of China. It is also involved in the assembly of system products; and supply chain and distribution of system products. The company has a strategic cooperation with Northern Data AG in the areas of artificial intelligence development, blockchain technology, and datacenter operations. The company was founded in 2013 and is based in Hangzhou, the People's Republic of China."
51,LMT,"Lockheed Martin Corporation, a security and aerospace company, engages in the research, design, development, manufacture, integration, and sustainment of technology systems, products, and services worldwide. It operates through four segments: Aeronautics, Missiles and Fire Control, Rotary and Mission Systems, and Space. The Aeronautics segment offers combat and air mobility aircraft, unmanned air vehicles, and related technologies. The Missiles and Fire Control segment provides air and missile defense systems; tactical missiles and air-to-ground precision strike weapon systems; logistics; fire control systems; mission operations support, readiness, engineering support, and integration services; manned and unmanned ground vehicles; and energy management solutions. The Rotary and Mission Systems segment offers military and commercial helicopters; ship and submarine mission and combat systems; mission systems and sensors for rotary and fixed-wing aircraft; sea and land-based missile defense systems; radar systems; the Littoral combat ship; simulation and training services; and unmanned systems and technologies. It also supports government customers in cybersecurity; and delivers communications, and command and control capabilities through mission solutions for defense applications. The Space segment offers satellites; space transportation systems; strategic, advanced strike, and defensive missile systems; and classified systems and services in support of national security systems. This segment also provides network-enabled situational awareness and integrates space and ground-based systems to help its customers gather, analyze, and securely distribute critical intelligence data. Lockheed Martin Corporation was founded in 1912 and is headquartered in Bethesda, Maryland."
52,BA,"The Boeing Company, together with its subsidiaries, designs, develops, manufactures, sales, services, and supports commercial jetliners, military aircraft, satellites, missile defense, human space flight and launch systems, and services worldwide. The company operates through four segments: Commercial Airplanes; Defense, Space & Security; Global Services; and Boeing Capital. The Commercial Airplanes segment provides commercial jet aircraft for passenger and cargo requirements, as well as fleet support services. The Defense, Space & Security segment engages in the research, development, production, and modification of manned and unmanned military aircraft and weapons systems; strategic defense and intelligence systems, which include strategic missile and defense systems, command, control, communications, computers, intelligence, surveillance and reconnaissance, cyber and information solutions, and intelligence systems; and satellite systems, such as government and commercial satellites, and space exploration. The Global Services segment offers products and services, including supply chain and logistics management, engineering, maintenance and modifications, upgrades and conversions, spare parts, pilot and maintenance training systems and services, technical and maintenance documents, and data analytics and digital services to commercial and defense customers. The Boeing Capital segment offers financing services and manages financing exposure for a portfolio of equipment under operating leases, sales-type/finance leases, notes and other receivables, assets held for sale or re-lease, and investments. The company was incorporated in 1916 and is based in Chicago, Illinois."
53,GD,"General Dynamics Corporation operates as an aerospace and defense company worldwide. It operates through four segments: Aerospace, Marine Systems, Combat Systems, and Technologies. The Marine Systems segment designs and builds nuclear-powered submarines, surface combatants, and auxiliary ships for the United States Navy and Jones Act ships for commercial customers, as well as oil and product tankers, and container and cargo ships. This segment also provides submarine maintenance and modernization services; lifecycle support services for navy surface ships; and program management, planning, engineering, and design support services for submarines and surface-ships. The Combat Systems segment manufactures land combat solutions, such as wheeled and tracked combat vehicles, weapons systems, munitions, mobile bridge systems with payloads, tactical vehicles, main battle tanks, armored vehicles, weapons systems, and armaments. This segment also offers modernization program, engineering, support, and sustainment services. The Technologies segment provides information technology solutions and mission-support services; mobile communication, computers, and command-and-control mission systems; and intelligence, surveillance, and reconnaissance solutions to military, intelligence, and federal civilian customers. This segment also offers cloud computing, artificial intelligence, machine learning, big data analytics, development, security and operation, software-defined network, everything as-a-service and defense enterprise office system solutions. General Dynamics Corporation was founded in 1899 and is headquartered in Reston, Virginia."
54,RTX,"Raytheon Technologies Corporation, an aerospace and defense company, provides systems and services for the commercial, military, and government customers worldwide. It operates through four segments: Collins Aerospace Systems, Pratt & Whitney, Raytheon Intelligence & Space, and Raytheon Missiles & Defense. The Collins Aerospace Systems segment offers aerospace and defense products, and aftermarket service solutions for aircraft manufacturers and airlines, as well as regional, business, and general aviation; and for defense and commercial space operations. This segment also designs, produces, and supports cabin interior, communications and aviation systems, oxygen systems, food and beverage preparation, storage and galley systems, and lavatory and wastewater management systems; airborne intelligence, surveillance and reconnaissance systems, test and training range systems, crew escape systems, and simulation and training solutions; information management services; and aftermarket services that include spare parts, overhaul and repair, engineering and technical support, training and fleet management solutions, and information management services. The Pratt & Whitney segment supplies aircraft engines for commercial, military, business jet, and general aviation customers; and produces, sells, and services military and commercial auxiliary power units. The Raytheon Intelligence & Space segment develops and provides integrated sensor and communication systems for missions, training, and cyber and software solutions to intelligence, defense, federal, and commercial customers. The Raytheon Missiles & Defense segment designs, develops, produces, and sustains integrated air and missile defense systems; defensive and combat solutions; land- and sea-based radars; command, control, communications, and intelligence solutions; and naval and undersea sensor solutions for the U.S. and foreign government customers. The company is headquartered in Waltham, Massachusetts."
55,AAL,"American Airlines Group Inc., through its subsidiaries, operates as a network air carrier. The company provides scheduled air transportation services for passengers and cargo through its hubs in Charlotte, Chicago, Dallas/Fort Worth, Los Angeles, Miami, New York, Philadelphia, Phoenix, and Washington, D.C., as well as through partner gateways in London, Madrid, Seattle/Tacoma, Sydney, and Tokyo. As of December 31, 2020, it operated a mainline fleet of 855 aircraft. The company was formerly known as AMR Corporation and changed its name to American Airlines Group Inc. in December 2013. American Airlines Group Inc. was founded in 1930 and is headquartered in Fort Worth, Texas."
56,UAL,"United Airlines Holdings, Inc., through its subsidiaries, provides air transportation services in North America, Asia, Europe, Africa, the Pacific, the Middle East, and Latin America. The company transports people and cargo through its mainline and regional fleets. It also sells fuel; and offers catering, ground handling, and maintenance services for third parties. The company was formerly known as United Continental Holdings, Inc. and changed its name to United Airlines Holdings, Inc. in June 2019. United Airlines Holdings, Inc. is headquartered in Chicago, Illinois."
57,SPCE,"Virgin Galactic Holdings, Inc., an integrated aerospace company, develops human spaceflight for private individuals and researchers in the United States. It also manufactures air and space vehicles. The company's spaceship operations include commercial human spaceflight, flying commercial research, and development payloads into space. In addition, it engages in the design and development, manufacturing, ground and flight testing, and post-flight maintenance of spaceflight vehicles. The company was founded in 2017 is headquartered in Las Cruces, New Mexico."
58,PFE,"Pfizer Inc. discovers, develops, manufactures, markets, distributes, and sells biopharmaceutical products worldwide. It offers medicines and vaccines in various therapeutic areas, including cardiovascular metabolic and pain under the Eliquis, Chantix/Champix, and Premarin family brands; biologics, small molecules, immunotherapies, and biosimilars under the Ibrance, Xtandi, Sutent, Inlyta, Retacrit, Lorbrena, and Braftovi brands; and sterile injectable and anti-infective medicines under the Sulperazon, Medrol, Zithromax, Vfend, and Panzyga brands. The company also provides medicines and vaccines in various therapeutic areas, such as pneumococcal disease, meningococcal disease, tick-borne encephalitis, and COVID-19 under the Prevnar 13/Prevenar 13 (pediatric/adult), Nimenrix, FSME/IMMUN-TicoVac, Trumenba, and the Pfizer-BioNTech COVID-19 vaccine brands; biosimilars for chronic immune and inflammatory diseases under the Xeljanz, Enbrel, Inflectra, and Eucrisa/Staquis brands; and amyloidosis, hemophilia, and endocrine diseases under the Vyndaqel/Vyndamax, BeneFIX, and Genotropin brands. In addition, the company is involved in the contract manufacturing business. It serves wholesalers, retailers, hospitals, clinics, government agencies, pharmacies, and individual provider offices, as well as disease control and prevention centers. The company has collaboration agreements with Bristol-Myers Squibb Company; Astellas Pharma US, Inc.; Myovant Sciences Ltd.; Akcea Therapeutics, Inc; Merck KGaA; Valneva SE; BioNTech SE; Arvinas, Inc.; and Syapse, Inc. Pfizer Inc. was founded in 1849 and is headquartered in New York, New York."
59,MRK,"Merck & Co., Inc. operates as a healthcare company worldwide. It operates through two segments, Pharmaceutical and Animal Health. The Pharmaceutical segment offers human health pharmaceutical products in the areas of oncology, hospital acute care, immunology, neuroscience, virology, cardiovascular, diabetes, and women's health, as well as vaccine products. The Animal Health segment discovers, develops, manufactures, and markets veterinary pharmaceuticals, vaccines, and health management solutions and services, as well as digitally connected identification, traceability, and monitoring products. It serves drug wholesalers and retailers, hospitals, and government agencies; managed health care providers, such as health maintenance organizations, pharmacy benefit managers, and other institutions; and physicians and physician distributors, veterinarians, and animal producers. The company has collaborations with AstraZeneca PLC; Bayer AG; Eisai Co., Ltd.; Synthekine Inc.; and Ridgeback Biotherapeutics. It also has collaboration agreements with Hummingbird Bioscience Pte. Ltd; Gilead Sciences, Inc. to co-develop and co-commercialize investigational treatment combinations of Lenacapavir and Islatravir in HIV; Amathus Therapeutics to develop treatments for neurodegenerative diseases; Linnaeus Therapeutics, Inc. to evaluate LNS8801; Biomed X Gmbh for building on ongoing research projects in the fields of oncology and autoimmunity; NGM Biopharmaceuticals, Inc. to focus on the development of medicines in retinal and CVM diseases, as well as to develop and commercialize tests that identify genetic mutations; and IO Biotech ApS to evaluate IO102-IO103. It also has a partnership with Biocorp Production for the development and supply of Mallya device; and a licensing agreement with The Medicines Patent Pool to facilitate access for molnupiravir, an investigational oral COVID-19 antiviral medicine. Merck & Co., Inc. was founded in 1891 and is headquartered in Kenilworth, New Jersey."
60,EL,"The EstÃ©e Lauder Companies Inc. manufactures, markets, and sells skin care, makeup, fragrance, and hair care products worldwide. The company offers a range of skin care products, including moisturizers, serums, cleansers, toners, body care, exfoliators, acne care and oil correctors, facial masks, cleansing devices, and sun care products; and makeup products, such as lipsticks, lip glosses, mascaras, foundations, eyeshadows, nail polishes, and powders, as well as compacts, brushes, and other makeup tools. It also provides fragrance products in various forms comprising eau de parfum sprays and colognes, as well as lotions, powders, creams, candles, and soaps; and hair care products that include shampoos, conditioners, styling products, treatment, finishing sprays, and hair color products, as well as sells ancillary products and services. The company offers its products under EstÃ©e Lauder, Aramis, Clinique, Lab Series, Origins, MÂ·AÂ·C, Bobbi Brown, La Mer, Aveda, Jo Malone London, Bumble and bumble, Darphin, Smashbox, Le Labo, Editions de Parfums FrÃ©dÃ©ric Malle, GLAMGLOW, By Kilian, BECCA, Too Faced, Dr. Jart+, DECIEM, and The Ordinary brands. It also holds license arrangements for Tommy Hilfiger, Donna Karan New York, DKNY, Michael Kors, and Ermenegildo Zegna brands. The company sells its products through department stores, specialty-multi retailers, upscale perfumeries and pharmacies, and salons and spas; freestanding stores; its own and authorized retailer websites; third-party online malls; stores in airports; and in-flight and duty-free shops. The company was founded in 1946 and is headquartered in New York, New York."
61,PG,"The Procter & Gamble Company provides branded consumer packaged goods to consumers in North and Latin America, Europe, the Asia Pacific, Greater China, India, the Middle East, and Africa. It operates in five segments: Beauty; Grooming; Health Care; Fabric & Home Care; and Baby, Feminine & Family Care. The Beauty segment offers conditioners, shampoos, styling aids, and treatments; and antiperspirants and deodorants, personal cleansing, and skin care products under the Head & Shoulders, Herbal Essences, Pantene, Rejoice, Olay, Old Spice, Safeguard, Secret, and SK-II brands. The Procter & Gamble Company was founded in 1837 and is headquartered in Cincinnati, Ohio."
62,JNJ,"Johnson & Johnson researches and develops, manufactures, and sells a range of products in the health care field worldwide. It operates through three segments: Consumer Health, Pharmaceutical, and Medical Devices. The Consumer Health segment offers baby care products under the JOHNSON'S and AVEENO Baby brands; oral care products under the LISTERINE brand; skin health/beauty products under the AVEENO, CLEAN & CLEAR, DR. CI:LABO, NEUTROGENA, and OGX brands; acetaminophen products under the TYLENOL brand; cold, flu, and allergy products under the SUDAFED brand; allergy products under the BENADRYL and ZYRTEC brands; ibuprofen products under the MOTRIN IB brand; smoking cessation products under the NICORETTE brand; and acid reflux products under the PEPCID brand. This segment also provides women's health products, such as sanitary pads and tampons under the STAYFREE, CAREFREE, and o.b. brands; wound care products comprising adhesive bandages under the BAND-AID brand; and first aid products under the NEOSPORIN brand. The Pharmaceutical segment offers products in various therapeutic areas, including immunology, infectious diseases, neuroscience, oncology, pulmonary hypertension, and cardiovascular and metabolic diseases. The Medical Devices segment provides electrophysiology products to treat cardiovascular diseases and neurovascular care products to treat hemorrhagic and ischemic stroke; orthopaedics products in support of hips, knees, trauma, spine, sports, and other; advanced and general surgery solutions that focus on breast aesthetics, ear, nose, and throat procedures; and disposable contact lenses and ophthalmic products related to cataract and laser refractive surgery under the ACUVUE brand. The company markets its products to general public, and retail outlets and distributors, as well as distributes directly to wholesalers, hospitals, and health care professionals for prescription use. Johnson & Johnson was founded in 1886 and is based in New Brunswick, New Jersey."
63,BBWI,"Bath & Body Works, Inc. engages in the retailing of body care, home fragrance products, soaps, and sanitizers. The company sells its products under the Bath & Body Works, White Barn, C.O. Bigelow, and other brand names through online and at retail stores located in the United States and Canada, as well as through international stores operated by partners under franchise, license, and wholesale arrangements. It operates approximately 1,750 company-operated Bath & Body Works locations and 300 international franchised locations, as well as bathandbodyworks.com. The company was formerly known as L Brands, Inc. and changed its name to Bath & Body Works, Inc. in August 2021. Bath & Body Works, Inc. was founded in 1963 and is headquartered in Columbus, Ohio."
64,ELF,"e.l.f. Beauty, Inc., together with its subsidiaries, provides cosmetic and skin care products under the e.l.f., W3LL PEOPLE, and Keys Soulcare brand names worldwide. The company offers eye, lip, face, and skin care products. It sells its products through national and international retailers and direct-to-consumer channels, which include e-commerce platforms in the United States; and internationally primarily through distributors. The company was formerly known as J.A. Cosmetics Holdings, Inc. and changed its name to e.l.f. Beauty, Inc. in April 2016. e.l.f. Beauty, Inc. was founded in 2004 and is headquartered in Oakland, California."
65,NKE,"NIKE, Inc., together with its subsidiaries, designs, develops, markets, and sells athletic footwear, apparel, equipment, and accessories worldwide. The company offers NIKE brand products in six categories, including running, NIKE basketball, the Jordan brand, football, training, and sportswear. It also markets products designed for kids, as well as for other athletic and recreational uses, such as American football, baseball, cricket, golf, lacrosse, skateboarding, tennis, volleyball, walking, wrestling, and other outdoor activities; and apparel with licensed college and professional team, and league logos, as well as sells sports apparel. In addition, the company sells a line of performance equipment and accessories comprising bags, socks, sport balls, eyewear, timepieces, digital devices, bats, gloves, protective equipment, and other equipment for sports activities; and various plastic products to other manufacturers. Further, it provides athletic and casual footwear, apparel, and accessories under the Jumpman trademark; and casual sneakers, apparel, and accessories under the Converse, Chuck Taylor, All Star, One Star, Star Chevron, and Jack Purcell trademarks. Additionally, the company licenses agreements that permit unaffiliated parties to manufacture and sell apparel, digital devices, and applications and other equipment for sports activities under NIKE-owned trademarks. It sells its products to footwear stores; sporting goods stores; athletic specialty stores; department stores; skate, tennis, and golf shops; and other retail accounts through NIKE-owned retail stores, digital platforms, independent distributors, licensees, and sales representatives. The company was formerly known as Blue Ribbon Sports, Inc. and changed its name to NIKE, Inc. in 1971. NIKE, Inc. was founded in 1964 and is headquartered in Beaverton, Oregon."
66,UA,"Under Armour, Inc., together with its subsidiaries, develops, markets, and distributes branded performance apparel, footwear, and accessories for men, women, and youth primarily in North America, Europe, the Middle East, Africa, the Asia-Pacific, and Latin America. The company offers its apparel in compression, fitted, and loose types to be worn in hot and cold. It also provides various footwear products for running, basketball, cleated sports, slides, training, and outdoor. In addition, the company offers accessories, which include gloves, bags, headwear, and sports masks; and digital fitness subscriptions, as well as digital advertising through MapMyFitness platform. It primarily offers its products under the HEATGEAR, COLDGEAR, RUSH or RECOVER, UA HOVR, UA Logo, UNDER ARMOUR, UA, ARMOUR, PROTECT THIS HOUSE, I WILL, ARMOUR BRA, and ARMOUR FLEECE brands. The company sells its products through wholesale channels, including national and regional sporting goods chains, independent and specialty retailers, department store chains, mono-branded Under Armour retail stores, institutional athletic departments, and leagues and teams, as well as independent distributors; and directly to consumers through a network of 439 brand and factory house stores, as well as through e-commerce websites. Under Armour, Inc. was founded in 1996 and is headquartered in Baltimore, Maryland."
67,LULU,"lululemon athletica inc., together with its subsidiaries, designs, distributes, and retails athletic apparel and accessories for women and men. It operates through two segments, Company-Operated Stores and Direct to Consumer. The company offers pants, shorts, tops, and jackets for healthy lifestyle and athletic activities, such as yoga, running, and training, as well as other sweaty pursuits. It also provides fitness-related accessories. The company sells its products through a chain of company-operated stores; outlets and warehouse sales; a network of wholesale accounts, such as yoga studios, health clubs, and fitness centers; temporary locations, including seasonal stores; and license and supply arrangements, as well as directly to consumer through mobile apps, and lululemon.com e-commerce website. As of January 31, 2021, it operated 521 company-operated stores under the lululemon brand in the United States, Canada, the People's Republic of China, Australia, the United Kingdom, Japan, New Zealand, Germany, South Korea, Singapore, France, Malaysia, Sweden, Ireland, the Netherlands, Norway, and Switzerland. lululemon athletica inc. was founded in 1998 and is based in Vancouver, Canada."
68,PTON,"Peloton Interactive, Inc. provides interactive fitness products in North America and internationally. It offers connected fitness products with touchscreen that streams live and on-demand classes under the Peloton Bike, Peloton Bike+, Peloton Tread, and Peloton Tread+ names. The company also provides connected fitness subscriptions for various household users, and access to various live and on-demand classes, as well as Peloton Digital app for connected fitness subscribers to provide access to its classes. As of June 30, 2021, it had approximately 5.9 million members. The company markets and sells its interactive fitness products directly through its retail showrooms and at onepeloton.com. Peloton Interactive, Inc. was founded in 2012 and is headquartered in New York, New York."
