Symbol,Name,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_21,Cluster_22,Cluster_23,Cluster_24,Cluster_25,Cluster_26,Cluster_27,Cluster_28,Cluster_29,Cluster_30,Cluster_31,Cluster_32,Cluster_33,Cluster_34,Cluster_35,Cluster_36,Cluster_37,Cluster_38,Cluster_39,Cluster_40,Cluster_41,Cluster_42,Cluster_43,Cluster_44
JHX,James Hardie Industries PLC ADR,0,2,4,3,3,4,8,8,8,8,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
TFX,Teleflex Inc,0,2,4,4,4,2,2,6,6,6,6,6,6,6,6,6,17,17,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
FMC,FMC Corp,0,2,4,4,4,2,2,6,6,6,6,6,6,6,6,6,17,17,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
CCK,Crown Holdings Inc,0,2,4,4,4,2,8,8,8,8,8,8,8,8,4,8,8,8,5,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
SJM,J M Smucker Co,0,3,3,1,1,1,4,4,4,4,12,13,13,13,13,13,13,13,20,20,20,20,20,20,20,20,20,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
BBWI,Bath & Body Works Inc,1,3,3,1,1,1,4,4,4,1,1,13,13,13,13,13,13,13,20,20,20,20,20,20,20,20,12,29,29,29,29,29,29,29,29,29,29,29,29,29,42,42
SUZ,Suzano SA ADR,0,2,2,2,2,6,6,9,9,9,9,9,9,9,9,17,0,9,19,19,19,19,19,19,19,8,19,19,19,19,8,15,15,15,15,15,15,15,15,15,15,43
KIM,Kimco Realty Corp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,13,13,13,20,20,20,20,20,20,20,23,12,29,29,29,29,29,29,29,29,29,29,39,39,39,42,42
UI,Ubiquiti Inc,0,2,4,4,4,2,2,8,6,6,8,8,8,8,8,8,8,8,2,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,15
TRGP,Targa Resources Corp,1,1,0,0,1,3,3,1,5,5,5,5,5,5,5,5,5,13,4,4,4,4,4,20,4,23,17,17,4,4,4,29,4,4,29,29,4,39,39,39,39,39
CAH,Cardinal Health Inc,1,1,1,1,1,1,1,1,1,11,11,11,11,11,11,11,11,11,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
BAP,Credicorp Ltd,2,0,2,2,6,7,7,7,7,7,7,7,7,7,7,7,7,19,9,9,9,17,24,24,24,9,9,9,24,24,9,9,9,9,9,9,9,9,9,9,9,9
WPC,WP Carey Inc,0,2,2,2,2,6,6,9,9,9,9,9,9,9,9,17,17,17,8,8,8,8,8,8,8,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
HWM,Howmet Aerospace Inc,0,3,3,3,0,0,4,4,4,4,12,12,14,14,14,14,14,14,11,11,11,11,11,23,23,10,7,10,10,10,10,10,10,10,10,23,10,23,23,23,23,23
ATO,Atmos Energy Corp,0,2,2,2,2,6,6,9,9,9,9,9,9,9,9,9,17,17,8,8,8,8,8,8,8,8,2,8,8,8,27,8,8,8,8,8,8,8,8,8,8,8
IEX,IDEX Corp,0,2,4,4,4,2,2,8,6,6,8,8,8,8,8,8,8,8,2,2,2,2,2,2,2,2,2,2,28,28,28,2,2,2,35,2,2,2,21,21,21,2
EVRG,Evergy Inc,0,2,4,4,2,6,6,9,9,9,9,9,9,9,9,17,17,17,12,2,2,2,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
AES,AES Corp,0,2,4,4,4,2,2,8,6,6,8,8,8,8,8,8,8,8,2,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,35,35,35,36,36,36,15
SNN,Smith & Nephew PLC ADR,0,2,2,2,2,6,6,6,9,9,6,6,6,6,6,9,17,6,8,8,8,8,8,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,41,41,41
BG,Bunge Ltd,2,3,3,0,0,0,0,4,5,5,0,13,13,13,13,13,14,13,11,11,11,11,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,29,29,29,29
PWR,Quanta Services Inc,0,2,3,3,3,4,8,8,8,8,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
ELS,Equity LifeStyle Properties Inc,0,2,4,4,4,2,2,8,6,6,8,8,8,8,8,8,17,17,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
LFC,China Life Insurance Co Ltd ADR,1,1,1,5,5,5,5,5,10,11,11,11,11,11,15,11,11,15,3,3,3,3,3,3,3,3,3,3,3,3,3,3,26,26,26,26,26,26,26,26,26,3
ZEN,Zendesk Inc,0,2,4,4,4,2,2,6,6,6,8,8,8,8,8,8,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,36,15,15
NMR,Nomura Holdings Inc ADR,1,1,1,1,1,1,5,1,5,11,11,11,11,11,11,11,11,11,3,3,3,3,3,3,3,4,4,4,30,30,30,30,30,30,30,30,30,30,30,30,30,30
PKG,Packaging Corp of America,0,3,3,3,3,4,8,8,8,8,0,4,14,14,0,17,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,35,35,7,7,7,35,35,35,35
SNP,China Petroleum & Chemical Corp ADR,1,1,0,5,6,7,7,7,10,10,10,10,10,10,10,10,10,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,32,22,22,22,22,22,22,22,22,22
SJR,Shaw Communications Inc Class B,0,3,3,3,3,4,8,4,8,0,4,4,14,14,14,14,14,14,11,11,11,11,11,11,11,11,12,11,11,31,31,31,31,31,31,31,31,31,31,31,31,31
AMH,American Homes 4 Rent Class A,0,2,4,3,3,4,8,8,8,8,8,8,8,8,4,8,8,8,5,21,21,21,5,21,21,21,21,21,28,28,5,21,21,21,21,21,21,21,21,21,21,21
AAP,Advance Auto Parts Inc,0,3,3,3,3,4,8,8,8,8,4,4,4,4,4,4,4,4,5,5,5,5,5,12,12,5,5,28,5,5,5,5,5,5,28,28,28,28,28,28,31,31
MAS,Masco Corp,0,2,4,4,4,2,2,8,6,6,8,8,8,8,8,8,8,8,2,21,21,21,21,21,21,21,21,21,21,21,21,21,21,35,21,35,35,35,21,35,35,21
FNF,Fidelity National Financial Inc,0,2,3,3,2,6,6,9,9,9,9,9,9,9,9,17,0,17,12,12,12,12,12,12,12,12,8,8,12,12,12,8,8,8,8,8,8,8,8,8,8,8
IPG,Interpublic Group of Companies Inc,0,3,3,3,3,4,8,4,8,8,4,4,14,14,14,14,14,14,11,11,11,11,11,11,11,11,5,11,11,31,31,31,31,31,31,31,31,31,31,31,31,31
AA,Alcoa Corp,2,3,0,0,0,0,0,0,0,5,0,0,0,0,16,16,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSL,Sasol Ltd ADR,1,1,0,5,6,5,5,3,10,10,10,10,10,10,10,10,10,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,17,13,17,13,17,17
FICO,Fair Isaac Corp,0,2,4,4,4,2,2,6,6,6,8,8,8,8,8,8,8,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
RHI,Robert Half International Inc,0,3,3,3,3,4,8,8,8,8,4,4,4,14,14,4,4,14,11,5,5,5,5,12,12,12,5,28,5,31,5,28,5,28,28,11,11,11,28,11,11,11
GDDY,GoDaddy Inc Class A,0,2,4,4,2,6,6,6,9,9,9,9,9,9,9,17,17,17,19,2,2,2,2,2,2,8,2,2,8,8,8,15,15,15,15,15,15,15,15,15,15,43
CPB,Campbell Soup Co,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,1,1,11,1,1,1,1,1,1,1,20,20,20,1,20,3,3,3,3,3,3,3,20,40,40,40,40
WLK,Westlake Chemical Corp,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,7,0,7,7,0,0,0,0,0,7,7,7,7,7,7,7,7
LNC,Lincoln National Corp,2,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,16,5,4,4,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLDR,Builders FirstSource Inc,0,2,4,3,3,4,8,8,8,8,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
CMA,Comerica Inc,2,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,16,16,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
MPW,Medical Properties Trust Inc,0,2,4,4,4,2,2,6,6,6,8,8,8,8,8,8,17,17,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
IRM,Iron Mountain Inc,2,3,3,0,0,0,0,4,0,0,0,4,14,14,14,14,14,14,11,11,11,11,11,11,11,11,12,11,11,31,31,31,31,31,31,31,31,31,31,31,29,29
CNA,CNA Financial Corp,2,0,0,0,0,3,3,0,3,3,3,5,0,0,16,16,16,16,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
IHG,InterContinental Hotels Group PLC ADR,2,0,2,2,2,0,0,9,0,0,0,0,0,0,16,16,0,0,0,0,0,12,12,7,7,6,8,12,7,6,6,12,7,7,7,7,7,7,7,7,7,7
SC,Santander Consumer USA Holdings Inc,0,2,3,3,3,4,8,8,8,8,4,4,4,4,4,4,4,4,5,5,5,5,5,12,12,12,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
JLL,Jones Lang LaSalle Inc,0,3,3,3,3,4,8,4,8,0,4,4,14,14,14,14,14,14,11,11,11,11,11,11,11,11,7,11,11,31,31,31,31,31,11,11,11,11,11,11,11,11
ICL,Icl Group Ltd,0,3,3,3,3,4,8,4,8,0,4,4,14,14,14,14,14,14,11,11,11,11,11,11,11,11,12,11,11,31,31,31,31,31,31,31,31,31,31,31,31,31
LDOS,Leidos Holdings Inc,0,2,4,4,4,2,2,6,6,6,6,6,6,6,6,6,17,17,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
ENIA,Enel Americas SA ADR,1,1,0,5,6,7,7,7,10,10,10,10,10,15,10,10,15,10,9,9,22,22,22,22,22,22,22,22,22,22,22,22,32,32,32,32,32,32,32,32,32,32
WRK,Westrock Co,1,1,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,0,0,4,30,0,0,0,0,0,0,0,0,0,0,0,0,0
FBHS,Fortune Brands Home & Security Inc,0,2,4,3,3,4,8,8,8,8,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,35,5,5,5,5,5,35,5,5
GGG,Graco Inc,0,2,4,4,4,2,2,8,6,8,8,8,8,8,8,8,8,8,2,21,21,21,21,21,21,21,21,21,21,21,21,21,21,35,35,35,35,35,35,35,35,35
KEP,Korea Electric Power Corp ADR,1,1,1,5,5,5,5,5,10,11,11,11,11,11,11,11,11,11,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
CSL,Carlisle Companies Inc,0,2,4,3,3,4,8,8,8,8,4,8,4,4,4,4,4,8,5,5,5,5,5,12,12,12,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
PHM,Pultegroup Inc,0,2,4,4,4,2,2,8,6,6,8,8,8,8,8,8,8,8,2,21,21,21,21,21,21,21,21,21,21,21,21,21,21,35,21,35,35,35,21,35,35,21
SBSW,Sibanye Stillwater Ltd ADR,0,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,36,16,16,16,36,36,36,36
WOLF,Wolfspeed Inc,0,2,4,4,4,2,2,8,8,8,8,8,8,8,8,8,8,8,2,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,35,35,21,21,21,21,15
TDOC,Teladoc Health Inc,0,2,4,4,4,2,2,6,6,6,6,6,6,6,6,6,6,2,15,15,15,15,15,15,15,15,15,15,15,15,15,33,33,33,33,33,33,33,33,33,33,33
PTR,PetroChina Co Ltd ADR,1,1,1,5,5,5,5,5,10,10,10,10,10,10,15,10,10,15,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
RE,Everest Re Group Ltd,2,3,3,2,2,6,0,9,0,0,9,0,9,9,9,16,0,16,12,12,12,12,12,8,8,6,8,12,7,6,6,8,8,8,7,8,8,23,8,8,8,8
AFG,American Financial Group Inc,2,3,3,0,0,0,0,0,0,0,0,0,0,0,16,16,16,16,0,0,0,0,0,0,0,6,7,12,7,7,7,7,7,7,7,7,7,7,7,7,7,7
WTRG,Essential Utilities Inc,0,2,4,4,4,2,2,6,6,6,8,8,8,8,8,8,17,17,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
AEG,Aegon NV ADR,1,1,0,5,5,5,5,5,5,10,5,5,5,5,5,5,5,5,4,4,4,4,4,17,17,17,17,17,17,4,13,13,4,17,17,17,38,38,38,38,39,39
WHR,Whirlpool Corp,0,3,3,3,3,4,4,4,4,4,12,12,12,13,12,12,12,18,14,14,11,11,11,14,14,14,11,11,11,11,11,11,11,11,18,5,5,29,29,29,29,29
NI,NiSource Inc,2,0,2,2,2,6,6,9,9,9,9,9,9,9,3,9,9,19,8,8,8,8,8,8,8,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,41
FND,Floor & Decor Holdings Inc Class A,0,2,4,3,3,4,8,8,8,8,8,8,4,4,4,4,4,4,5,5,5,5,5,5,5,21,21,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
WSM,Williams-Sonoma Inc,0,2,4,3,3,4,8,8,8,8,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
AOS,A O Smith Corp,0,3,3,3,3,0,0,4,0,0,0,4,14,14,0,0,14,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
QGEN,Qiagen NV,0,2,4,4,4,2,2,8,6,6,8,8,8,8,8,8,8,8,2,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
SNA,Snap-On Inc,0,3,3,3,3,4,8,4,8,8,4,4,14,14,14,14,14,4,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
WES,Western Midstream Partners Common Units,1,1,1,5,5,5,5,5,10,10,10,10,10,11,15,15,15,15,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
OVV,Ovintiv Inc,1,1,0,5,5,5,5,5,10,10,5,5,5,15,5,15,15,15,4,4,4,4,4,4,4,17,17,17,4,4,13,13,22,22,22,22,22,22,22,22,22,22
CUBE,CubeSmart,0,2,3,3,3,4,8,8,8,8,4,4,4,4,4,4,4,4,5,5,5,5,5,12,12,12,5,28,28,5,5,28,5,28,28,28,28,28,28,28,28,28
RPM,RPM International Inc,0,2,4,4,4,2,2,8,6,6,8,8,8,8,8,8,8,8,2,21,21,21,21,21,21,2,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
WBS,Webster Financial Corp,2,0,0,0,0,0,0,0,0,3,0,0,0,0,16,16,16,16,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
MTN,Vail Resorts Inc,0,2,3,3,3,6,8,9,8,0,9,9,9,9,9,17,0,0,7,7,7,7,7,7,7,7,8,7,7,7,8,15,7,35,35,7,7,7,35,8,35,35
JNPR,Juniper Networks Inc,2,3,0,0,0,0,0,0,0,0,0,0,0,0,16,14,16,13,0,0,0,0,0,0,0,23,12,0,0,0,0,0,0,0,0,0,0,39,39,39,29,29
LSI,Life Storage Inc,0,2,3,3,3,4,8,8,8,8,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
H,Hyatt Hotels Corp Class A,2,0,2,2,2,6,6,9,0,0,9,9,9,9,9,17,0,0,12,12,12,12,12,7,7,6,8,12,12,12,12,12,12,12,12,12,12,12,12,8,8,12
NLY,Annaly Capital Management Inc,1,1,0,5,5,5,5,5,10,10,10,10,10,15,15,15,15,15,13,13,13,13,17,13,17,13,13,13,4,4,4,4,4,4,4,4,13,13,4,4,4,4
DVA,DaVita Inc,0,2,4,3,3,2,8,2,2,2,2,2,2,4,4,4,2,4,5,21,21,16,16,5,5,21,21,5,21,5,5,5,21,5,5,5,5,5,5,5,5,5
ALLE,Allegion PLC,0,2,4,4,4,2,2,8,6,6,8,8,8,8,8,8,8,17,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
UHS,Universal Health Services Inc Class B,0,3,3,3,2,6,6,9,9,9,9,9,9,9,9,17,0,17,12,12,12,12,23,23,23,27,23,23,23,23,23,23,23,23,23,23,23,23,23,27,27,27
GL,Globe Life Inc,0,2,2,2,2,6,6,9,9,9,9,9,9,9,9,17,0,17,12,12,12,12,12,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
REXR,Rexford Industrial Realty Inc,0,2,4,4,4,2,8,8,6,8,8,8,8,8,8,8,8,8,2,21,21,21,21,21,21,2,21,28,28,28,28,28,28,28,21,21,21,21,21,21,21,21
BCH,Banco de Chile ADR,2,0,0,5,6,7,7,7,7,7,7,7,7,7,10,7,7,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
DAR,Darling Ingredients Inc,0,2,4,3,3,4,8,8,8,8,8,8,4,4,4,4,4,4,5,5,5,5,5,5,5,21,21,5,21,5,5,5,21,5,5,35,35,5,5,5,5,5
PSXP,Phillips 66 Partners Common Units,1,1,1,5,6,3,3,3,3,10,10,10,3,10,10,10,10,3,17,17,17,17,24,24,24,24,24,24,24,24,32,32,24,24,24,13,32,32,32,32,32,32
IVZ,Invesco Ltd,1,1,0,5,5,5,5,5,5,5,5,11,11,11,11,5,5,5,4,4,4,4,4,4,4,4,4,4,30,30,30,30,30,30,30,30,30,30,30,30,30,30
VST,Vistra Corp,2,0,2,2,2,6,6,9,9,9,9,9,9,9,7,9,9,9,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,41,41,19
RRX,Regal Rexnord Corp,0,2,4,3,3,4,8,8,8,8,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
BWA,Borgwarner Inc,2,0,0,0,0,0,0,0,5,5,5,13,13,13,0,0,18,5,18,18,18,18,18,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCI,Service Corporation International,0,2,4,4,3,2,8,8,8,8,8,8,8,8,8,8,8,8,12,2,2,2,2,12,12,12,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
GLOB,Globant SA,0,2,4,4,4,2,2,8,6,8,8,8,8,8,8,8,8,8,5,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
WFG,West Fraser Timber Co Ltd,0,3,3,3,3,0,0,4,0,0,0,4,14,14,0,14,14,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,11,7,7,7
BKI,Black Knight Inc,0,2,4,4,4,2,2,6,6,6,6,6,6,6,6,6,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,33,33,33,2,2,2,33
TPR,Tapestry Inc,2,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LUMN,Lumen Technologies Inc,1,1,1,1,5,5,1,1,1,11,11,11,11,11,11,11,11,11,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
MMP,Magellan Midstream Partners Units,1,1,0,5,5,5,5,5,10,10,10,10,10,10,15,10,10,15,13,13,13,13,13,13,13,13,13,13,13,13,32,32,13,13,13,13,13,13,13,13,13,13
ACM,AECOM,0,2,3,3,3,4,8,8,8,8,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
TTC,Toro Co,0,2,4,4,4,2,2,8,6,8,8,8,8,8,8,8,8,8,2,21,21,21,21,21,21,21,21,21,21,21,21,21,21,35,35,35,35,35,35,35,35,35
GFI,Gold Fields Ltd ADR,0,2,4,4,4,2,2,6,6,6,8,8,8,8,8,8,6,2,2,21,21,21,21,15,15,15,15,15,15,15,15,33,33,33,33,33,33,33,33,33,33,36
WAL,Western Alliance Bancorp,0,3,3,3,3,4,8,4,8,8,4,4,14,14,14,14,14,14,11,11,11,11,11,11,11,11,7,11,11,7,7,7,7,7,11,11,11,11,11,11,11,11
RS,Reliance Steel & Aluminum Co,0,2,4,3,3,4,8,8,8,8,8,8,8,8,8,8,8,8,5,21,21,21,5,21,21,21,21,21,28,28,28,28,28,28,21,28,28,28,21,28,28,21
HUBB,Hubbell Inc,0,2,4,3,3,4,8,8,8,8,8,8,4,4,4,4,4,4,5,5,5,5,5,5,5,21,21,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
SKM,SK Telecom Co Ltd ADR,2,3,3,0,0,0,0,0,0,0,0,13,13,13,0,0,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,37,37,37,37,37,37,37
BAH,Booz Allen Hamilton Holding Corp Class A,0,2,4,4,4,2,2,6,6,6,6,6,6,6,6,6,17,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
CLF,Cleveland-Cliffs Inc,0,3,3,3,3,4,8,8,8,8,4,4,4,4,4,4,4,4,11,5,5,5,5,5,5,5,5,5,5,5,5,5,11,11,11,11,11,11,11,11,11,11
CPRI,Capri Holdings Ltd,2,0,0,0,0,0,0,0,0,5,0,0,0,0,16,16,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0
CIEN,Ciena Corp,0,2,4,4,4,2,2,8,6,6,8,8,8,8,8,8,8,8,2,21,21,21,21,21,21,2,21,2,2,21,21,2,2,21,21,21,21,21,21,21,21,21
TFII,TFI International Inc,0,2,3,3,3,4,8,8,8,8,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
SNX,TD Synnex Corp,0,3,3,3,3,4,8,8,8,8,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,11,11,5,5,5,5,5,5,5,5
TREX,Trex Company Inc,0,2,4,4,4,2,2,8,8,8,8,8,8,8,8,8,8,8,2,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
MHK,Mohawk Industries Inc,1,1,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,30,30,30,30,30,30,30,30,30,30,30,30,30,30
NRG,NRG Energy Inc,0,2,4,2,2,6,6,9,9,9,9,9,9,9,9,17,17,17,12,2,2,2,2,2,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,43
FHN,First Horizon Corp,2,0,0,0,0,0,3,0,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0
PNR,Pentair PLC,0,3,3,3,3,4,8,4,8,8,4,4,4,4,4,4,4,4,11,5,5,5,5,5,5,5,5,5,5,5,5,5,11,11,5,5,5,5,5,5,5,5
DKS,DICK'S Sporting Goods Inc,0,3,3,3,3,4,8,4,8,8,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
AMC,AMC Entertainment Holdings Inc Class A,1,3,3,1,1,1,4,4,5,5,5,13,13,13,13,13,13,13,20,20,20,20,20,20,20,23,12,29,29,29,29,29,29,29,29,29,29,39,39,39,42,42
LII,Lennox International Inc,0,2,4,4,4,2,2,8,6,6,8,8,8,8,8,8,17,17,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,15,2
LW,Lamb Weston Holdings Inc,0,2,2,2,2,6,6,9,9,9,9,9,9,9,9,9,17,17,8,19,19,19,19,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,43
LEA,Lear Corp,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7
AGCO,AGCO Corp,0,3,3,3,3,4,8,8,8,8,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,11,35,35,35,35,35,35,35,35,35
LAD,Lithia Motors Inc Class A,0,2,4,4,4,2,2,2,2,8,8,8,2,2,2,8,2,2,16,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,36,35,35,35,36,36,36,15
GME,GameStop Corp Class A,0,3,3,3,3,4,8,4,8,8,4,4,4,4,4,4,4,4,11,5,5,11,11,5,5,5,11,5,5,11,11,11,11,11,5,5,5,5,5,5,5,5
FRT,Federal Realty Investment Trust,1,1,0,5,6,3,3,3,3,3,3,5,5,5,5,3,3,3,17,17,17,23,17,17,17,17,17,17,4,4,4,4,4,4,4,24,4,39,39,39,39,39
SEE,Sealed Air Corp,0,3,3,3,3,4,4,4,8,0,4,4,14,14,14,14,14,14,11,11,11,11,11,11,11,11,12,11,11,31,31,31,31,31,31,31,31,31,31,31,29,29
TEVA,Teva Pharmaceutical Industries Ltd ADR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,1,1
AQN,Algonquin Power & Utilities Corp,0,2,4,4,4,2,2,6,6,6,6,6,6,6,6,6,17,17,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
RDY,Dr Reddy's Laboratories Ltd ADR,0,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,36,16,16,36,36,36,36,36
BEP,Brookfield Renewable Partners Non Voting Units,0,2,4,4,4,2,2,2,6,6,8,8,8,8,8,8,2,2,2,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,36,35,35,35,36,36,36,15
CFR,Cullen/Frost Bankers Inc,2,3,3,0,0,0,0,0,0,0,0,0,0,0,16,16,16,0,0,0,0,0,0,0,0,7,7,12,7,7,7,7,7,7,7,7,7,7,7,7,7,7
CABO,Cable One Inc,0,2,4,4,4,2,2,6,6,6,6,6,6,6,6,6,6,2,2,2,2,2,2,15,15,2,2,2,2,2,2,2,2,2,2,33,33,33,2,2,2,33
ARMK,Aramark,2,0,0,0,0,3,3,0,3,3,3,5,0,0,16,16,16,16,10,10,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
